object_id,family,origin_phase,stage_reached,disposition,input_lock_sha256,result_sha256,exchange_sha256,ledger_record_sha256
OGLE-LMC-CEP-0002,classical_cepheid,phase14,RECOVERY_HARMONICS,ABSTAIN_INSUFFICIENT_RECOVERY_HARMONIC_SIGNAL,9bca7e38ff63f3d0e3dd82a38599631e972757a9bd4830e53a20143228caa136,a591dae21ca9d9cefb21c63c208f70b8bc2c58feabbcd6647e9c64bd04f20739,befd48a88fc7fec642c9576e6528f0e7311ce60de5a906bf459fa6ad3ab5a638,050c6661f5ca8730a193176c8b3a3eaa6d1c3202433df408721a30620793b0ae
OGLE-LMC-CEP-0004,classical_cepheid,phase11,RECOVERY_HARMONICS,ABSTAIN_INSUFFICIENT_RECOVERY_HARMONIC_SIGNAL,94835d78f3e488a7dc4506085ed27ec23b69d76b133b16535ea1adbc97abd034,442dfbcd63f43905500497618920179773995c041aa367113572ea6db4105fd4,7bfe9e57cbb3c21f903665ead6fe23252de7257cf85b0ea446530b71f6160c59,4a2a7f82e20650dfc64875187150f20ba73df199ef84a5cfe330a825d3a37585
OGLE-LMC-RRLYR-00001,rr_lyrae,phase12,FORECAST_HARMONICS,ABSTAIN_INSUFFICIENT_MEASURED_FORECAST_HARMONICS,8fd81cae4451281725821eeb4ca6b59eb3bedeaf1d54add63bdefa538235920c,9de44e8340390c3efdf3cf430799732b224819713f4ab2f9c95b7bef95de30ff,bc84aef3dc514bc60d19cc35874697727e476b72181b4b475a8d0dcc6f28fc54,2d8397a361fd8f71f80c9696ee54b1376d47981142b7adb251a5d10d20691cf4
OGLE-LMC-RRLYR-00004,rr_lyrae,phase13,RECOVERY_HARMONICS,ABSTAIN_INSUFFICIENT_RECOVERY_HARMONIC_SIGNAL,0cf8a879bb57679db1f33d282a9a34e0946b8ef46413fec19ceb9208f314a85b,bda1bf7ed039b80a357f226e033d82d5510acb3ca08f25e975be65764daad6fe,670be6c6f30d1fec2ba5caf223d237d36b4e7b1b901ab895932317762ee6eda6,6efa15085182361bb64e796e2cddbfa3bd72f5bf1ee94ce454a251ee7f4fb251
