period_days,relative_offset,phase_dispersion_score,temporal_score
3.1150308509999998,-0.001,0.8649665785887971,61.85896445328751
3.11509321398,-0.00098,0.8568430246173234,64.39797445332468
3.11515557696,-0.00096,0.8390130756013299,66.96474817370033
3.1152179399399995,-0.00094,0.8349886323600975,69.5283876744478
3.1152803029199996,-0.00092,0.8213201856482687,72.07054088869799
3.1153426658999996,-0.0009,0.8040471383459813,74.58453622059784
3.1154050288799997,-0.00088,0.7921184697475483,77.0739247304021
3.1154673918599998,-0.00086,0.7810541838789153,79.5505843327055
3.11552975484,-0.00084,0.7648263826167275,82.03205129509435
3.11559211782,-0.00082,0.7512690021705533,84.53790159976951
3.1156544808,-0.0008,0.7282362233501015,87.08555039816527
3.11571684378,-0.00078,0.7062874951701787,89.68644260369055
3.11577920676,-0.00076,0.6985824049861782,92.34368076304403
3.11584156974,-0.00074,0.6748666550658378,95.05134772507071
3.1159039327199998,-0.0007199999999999999,0.6618733935099287,97.79472904760601
3.1159662957,-0.0007,0.6380689163945983,100.55033404482893
3.11602865868,-0.00068,0.6247604939251907,103.28529794967626
3.11609102166,-0.00066,0.6065806251131176,105.95675885289647
3.11615338464,-0.0006399999999999999,0.5968491339316996,108.51246004763236
3.11621574762,-0.00062,0.5760380436376866,110.89391139406787
3.1162781105999997,-0.0006000000000000001,0.5377426550090069,113.04292758730182
3.1163404735799998,-0.00058,0.5281113527163893,114.91113451591977
3.11640283656,-0.00056,0.49883867163830126,116.47011224899472
3.11646519954,-0.00054,0.4730084597905528,117.71797827365293
3.11652756252,-0.00052,0.4407412883029735,118.67808939923374
3.1165899255,-0.0005,0.43501077633451224,119.38850660572265
3.1166522884799996,-0.00047999999999999996,0.4116169446804115,119.88579631664813
3.1167146514599997,-0.00046,0.3875293269762899,120.18988967665065
3.1167770144399998,-0.00043999999999999996,0.36642153158586244,120.29523476238643
3.11683937742,-0.00042,0.3411182402081315,120.16879163463524
3.1169017404,-0.00039999999999999996,0.31925107391908736,119.7517330343435
3.1169641033799995,-0.00038,0.3083045111600766,118.96153440425444
3.1170264663599996,-0.00035999999999999997,0.2869258777311864,117.69366055349313
3.1170888293399996,-0.0003399999999999999,0.26104006604171415,115.82496918525581
3.1171511923199997,-0.00031999999999999997,0.2459274201103621,113.22217801222482
3.1172135552999998,-0.0002999999999999999,0.22903658707254637,109.75700435326323
3.11727591828,-0.00028,0.20836685567442514,105.32526830602127
3.11733828126,-0.0002599999999999999,0.1822954492600843,99.86333036877124
3.11740064424,-0.00023999999999999998,0.17280293409890837,93.35566710069506
3.11746300722,-0.00021999999999999993,0.16267623088637803,85.83301005306619
3.1175253702,-0.00019999999999999998,0.14681449028566063,77.36730466040838
3.11758773318,-0.00017999999999999993,0.15567094643654003,68.0725121091942
3.1176500961599998,-0.00015999999999999999,0.13022308410497047,58.11701034744847
3.11771245914,-0.00013999999999999993,0.11313017308641149,47.746127301878715
3.11777482212,-0.00011999999999999999,0.10699600655704487,37.305813436104906
3.1178371851,-9.999999999999994e-05,0.09305080980068947,27.253818499893622
3.11789954808,-7.999999999999999e-05,0.08541006854978264,18.145214531605912
3.11796191106,-5.999999999999994e-05,0.0856360454631601,10.585597620926476
3.1180242740399997,-3.999999999999989e-05,0.08493725062570312,5.156397941705219
3.1180866370199998,-1.9999999999999836e-05,0.08350433999198169,2.3283246994483453
3.118149,0.0,0.09178604131779762,2.385643842888151
3.1182113629799995,2.0000000000000052e-05,0.08847276889108878,5.38195989293364
3.11827372596,4.0000000000000105e-05,0.09273804187032576,11.137952404647953
3.1183360889399996,6.000000000000016e-05,0.08984575454432264,19.277870805460612
3.11839845192,7.999999999999999e-05,0.09910141801119725,29.29074859655813
3.1184608148999997,0.00010000000000000005,0.10509201184520381,40.598466870581575
3.1185231778799993,0.0001200000000000001,0.11596663762468784,52.61617927944401
3.11858554086,0.00014000000000000015,0.12022262836854093,64.79781227487031
3.1186479038399995,0.00015999999999999999,0.13206144470182596,76.66586148690001
3.11871026682,0.00018000000000000004,0.1711359348257519,87.82793654646046
3.1187726297999996,0.0002000000000000001,0.1758230998146393,97.98306466240739
3.11883499278,0.00022000000000000014,0.19530439293981558,106.920642251065
3.1188973557599997,0.00023999999999999998,0.20870797804100352,114.51488603490161
3.1189597187399998,0.00026000000000000003,0.23006886397426152,120.71695242249068
3.11902208172,0.0002800000000000001,0.2615954193889679,125.54520229087723
3.1190844447,0.00030000000000000014,0.27722825583244665,129.07256589902272
3.11914680768,0.0003200000000000002,0.3086542366690394,131.41035640956466
3.11920917066,0.00034,0.3330802682277595,132.69037575455823
3.1192715336399996,0.0003600000000000001,0.36240908520082643,133.04953550623546
3.11933389662,0.00038000000000000013,0.35598938317613654,132.62084519448348
3.1193962595999998,0.0004000000000000002,0.3850715601239236,131.53136672118293
3.1194586225800003,0.00042,0.4066375741720898,129.9041832288752
3.11952098556,0.00044000000000000007,0.45058647562387816,127.8601784504554
3.1195833485399995,0.0004600000000000001,0.4731119658366679,125.51681018783998
3.11964571152,0.0004800000000000002,0.4958526728628916,122.9835073697952
3.1197080744999997,0.0005,0.514416492925537,120.35510122458136
3.11977043748,0.0005200000000000001,0.5461565183456832,117.70519728403146
3.1198328004599998,0.0005400000000000001,0.5638085192907195,115.08104682205214
3.1198951634399994,0.0005600000000000002,0.5907175471380587,112.50098212504925
3.11995752642,0.00058,0.60921430957434,109.9551449411461
3.1200198893999995,0.0006000000000000001,0.6272717414346614,107.40994491928501
3.12008225238,0.0006200000000000001,0.6607309522973804,104.81623666111011
3.1201446153599997,0.0006400000000000002,0.6653432226736959,102.12053074926442
3.12020697834,0.0006600000000000002,0.6909133059396652,99.27769339584589
3.12026934132,0.00068,0.7051459744523829,96.26269665991943
3.1203317042999994,0.0007000000000000001,0.7353665201451077,93.07845245963118
3.12039406728,0.0007200000000000002,0.7490028416007306,89.7571882843305
3.1204564302599995,0.0007400000000000002,0.761868891388032,86.354539119773
3.12051879324,0.00076,0.7758679193578875,82.93804797534484
3.1205811562199997,0.0007800000000000001,0.7862415350150738,79.57377387717807
3.1206435191999997,0.0008000000000000001,0.7949624678636005,76.31502975049689
3.12070588218,0.0008200000000000002,0.8177151024933614,73.19592331946986
3.12076824516,0.00084,0.8191934779492002,70.23039394330549
3.12083060814,0.0008600000000000001,0.8203576171681835,67.41581318447624
3.12089297112,0.0008800000000000001,0.827870702483991,64.73925350093289
3.1209553340999996,0.0009000000000000002,0.8428080661934385,62.184163441794475
3.12101769708,0.0009200000000000002,0.8670393573724937,59.73543615594473
3.1210800600599997,0.0009400000000000001,0.8782079215499158,57.381763063274036
3.1211424230400002,0.0009600000000000003,0.8730765390893627,55.115449255536575
3.12120478602,0.00098,0.8966162655805912,52.93089860712122
3.1212671489999995,0.001,0.9030310734312972,50.82320583524723
