epoch_ratio,canonical_full_score,canonical_four_score,unsafe_relative_score
0.0,3.1799090280185323e-15,2.655979311798196e-15,1.3197112540302889
0.006211180124223602,2.771009380552238e-15,1.5828871692162687e-15,1.3089580721365424
0.012422360248447204,2.3774554278477254e-15,1.958000114553065e-15,1.2968099230789654
0.018633540372670808,2.821765832885361e-15,2.4158710614080293e-15,1.2832885617599885
0.024844720496894408,4.290774222561652e-15,3.085075751937686e-15,1.2684181894315423
0.03105590062111801,2.7988983077332702e-15,2.2270650399718166e-15,0.9732429768400183
0.037267080745341616,2.920489914906177e-15,2.003383685795113e-15,0.9508684559681357
0.043478260869565216,2.511040044771919e-15,1.9175988062666145e-15,0.9317030122985466
0.049689440993788817,1.6126815536373317e-15,1.144071782949292e-15,0.9164630947466287
0.05590062111801242,2.9855355041657737e-15,1.918898134061784e-15,0.9061881672416859
0.06211180124223602,2.571394361904781e-15,1.8026263147087764e-15,1.1525340051688249
0.06832298136645962,2.242509300447059e-15,1.140814952455984e-15,0.6907714727918862
0.07453416149068323,2.6660540946673047e-15,1.7781197481864264e-15,0.7230535369465955
0.08074534161490683,2.954662273024178e-15,2.2869973676692177e-15,0.7557489473849333
0.08695652173913043,1.7693866667034475e-15,1.265282999226952e-15,0.7887047466063724
0.09316770186335403,3.2063620018078404e-15,2.3469661502867035e-15,0.8217839259256233
0.09937888198757763,3.385019060043657e-15,2.4093038484275226e-15,0.8548599549680909
0.10559006211180123,2.9220041058732704e-15,2.3752214411211284e-15,0.8878133797994013
0.11180124223602483,2.7056316844187446e-15,2.0503195555562888e-15,0.9205298059007049
0.11801242236024843,2.0835358953091324e-15,1.8409644833397513e-15,0.9528987983590298
0.12422360248447203,3.556240762989236e-15,2.8787784783677846e-15,0.9848133749867591
0.13043478260869565,2.9726175841893316e-15,2.6397017051763135e-15,1.0161698664554608
0.13664596273291924,2.7939532696383784e-15,1.0568544358715532e-15,1.0468679873156264
0.14285714285714285,2.8665762663097383e-15,2.490465313663847e-15,1.0768110123866135
0.14906832298136646,2.0319380889948015e-15,1.615803712105346e-15,1.1059059899291686
0.15527950310559005,2.4917102604136064e-15,1.5751001392302939e-15,1.1340639496801161
0.16149068322981366,1.977815960366708e-15,1.0511610778666311e-15,1.1612000826128706
0.16770186335403725,5.2528992621300845e-15,3.9867863840153944e-15,1.1872338820189225
0.17391304347826086,2.5827210221189377e-15,2.0060942453212855e-15,1.2120892436788526
