star_id,mode,period_days,observation_count_raw,train_count,test_count,selected_derd_by_training_cv,selected_baseline_by_training_cv,preselected_model_by_training_cv,descriptive_test_winner,selected_derd_test_rmse,selected_baseline_test_rmse,primary_derd_minus_baseline_rmse,derd_g_amplitude_ratio,derd_g_condition_number,derd_g_e1,derd_g_e2,derd_g_phase_ratio,derd_k_amplitude_ratio,derd_k_condition_number,derd_k_e1,derd_k_e2,derd_k_phase_ratio,interval_absolute_derd_g_coverage,interval_absolute_derd_g_mean_width,interval_absolute_derd_g_quantile,interval_absolute_derd_g_score,interval_absolute_derd_k_coverage,interval_absolute_derd_k_mean_width,interval_absolute_derd_k_quantile,interval_absolute_derd_k_score,interval_absolute_fourier_order2_coverage,interval_absolute_fourier_order2_mean_width,interval_absolute_fourier_order2_quantile,interval_absolute_fourier_order2_score,interval_absolute_periodic_krr_coverage,interval_absolute_periodic_krr_mean_width,interval_absolute_periodic_krr_quantile,interval_absolute_periodic_krr_score,interval_derd_g_coverage,interval_derd_g_mean_width,interval_derd_g_quantile,interval_derd_g_score,interval_derd_k_coverage,interval_derd_k_mean_width,interval_derd_k_quantile,interval_derd_k_score,interval_fourier_order2_coverage,interval_fourier_order2_mean_width,interval_fourier_order2_quantile,interval_fourier_order2_score,interval_periodic_krr_coverage,interval_periodic_krr_mean_width,interval_periodic_krr_quantile,interval_periodic_krr_score,kernel_condition_number,kernel_cv_weighted_rmse,kernel_effective_parameters,kernel_fallback_used,kernel_length_scale,kernel_length_scale_boundary_hit,kernel_ridge,local_file_sha256,observation_count_clean,oof_derd_g_durbin_watson,oof_derd_g_mae,oof_derd_g_maximum_absolute_error,oof_derd_g_r_squared,oof_derd_g_residual_lag1_autocorrelation,oof_derd_g_rmse,oof_derd_g_weighted_mae,oof_derd_g_weighted_rmse,oof_derd_k_durbin_watson,oof_derd_k_mae,oof_derd_k_maximum_absolute_error,oof_derd_k_r_squared,oof_derd_k_residual_lag1_autocorrelation,oof_derd_k_rmse,oof_derd_k_weighted_mae,oof_derd_k_weighted_rmse,oof_fourier_order2_durbin_watson,oof_fourier_order2_mae,oof_fourier_order2_maximum_absolute_error,oof_fourier_order2_r_squared,oof_fourier_order2_residual_lag1_autocorrelation,oof_fourier_order2_rmse,oof_fourier_order2_weighted_mae,oof_fourier_order2_weighted_rmse,oof_periodic_krr_durbin_watson,oof_periodic_krr_mae,oof_periodic_krr_maximum_absolute_error,oof_periodic_krr_r_squared,oof_periodic_krr_residual_lag1_autocorrelation,oof_periodic_krr_rmse,oof_periodic_krr_weighted_mae,oof_periodic_krr_weighted_rmse,period_scan_best_period_days,period_scan_max_span,period_scan_relative_delta,period_scan_resolved,period_scan_stages,preselected_model_test_rmse,test_derd_g_durbin_watson,test_derd_g_mae,test_derd_g_maximum_absolute_error,test_derd_g_r_squared,test_derd_g_residual_lag1_autocorrelation,test_derd_g_rmse,test_derd_g_weighted_mae,test_derd_g_weighted_rmse,test_derd_k_durbin_watson,test_derd_k_mae,test_derd_k_maximum_absolute_error,test_derd_k_r_squared,test_derd_k_residual_lag1_autocorrelation,test_derd_k_rmse,test_derd_k_weighted_mae,test_derd_k_weighted_rmse,test_fourier_order2_durbin_watson,test_fourier_order2_mae,test_fourier_order2_maximum_absolute_error,test_fourier_order2_r_squared,test_fourier_order2_residual_lag1_autocorrelation,test_fourier_order2_rmse,test_fourier_order2_weighted_mae,test_fourier_order2_weighted_rmse,test_periodic_krr_durbin_watson,test_periodic_krr_mae,test_periodic_krr_maximum_absolute_error,test_periodic_krr_r_squared,test_periodic_krr_residual_lag1_autocorrelation,test_periodic_krr_rmse,test_periodic_krr_weighted_mae,test_periodic_krr_weighted_rmse
OGLE-LMC-CEP-0001,1O,0.3068181,24,19,5,derd_g,periodic_krr,derd_g,derd_k,0.07014175205721582,0.06759307238085531,0.0025486796763605074,1.1903011929168235,142.63878284486123,0.5602179828552297,0.24568556288023768,0.8403245813814428,0.7089756155382011,15.778092832964795,0.3603297831701763,0.638416012253413,0.21241088539966183,1.0,0.21515862236859418,0.10757931118429714,0.21515862236859418,1.0,0.3628811944905986,0.18144059724529932,0.3628811944905986,1.0,1.0033914025780704,0.5016957012890352,1.0033914025780704,1.0,0.27871607747055305,0.13935803873527652,0.27871607747055305,0.8,0.19646628351965956,1.684177519206572,0.241719615439566,1.0,0.35935994286162465,3.0805587922181266,0.35935994286162465,1.0,0.8409035989425355,7.208518997699682,0.8409035989425355,1.0,0.3084956401334486,2.6445322453203763,0.3084956401334486,16062.714361239641,0.06324473896593766,7.700138777145157,False,1.5,False,0.001,a55f64c66fa94c6a2f29539e8085792ad984bdb9bee16e4078b529445529432f,24,1.3601678044801082,0.04553905073330413,0.18786032151746682,0.9686023356977425,0.18712826047858305,0.06482295314210847,0.04123368439269568,0.06088455889326541,0.7725591542064034,0.06627345921949987,0.28136662024021064,0.9271439051668192,0.4829525064083153,0.09874453883535023,0.06078789952337223,0.09383472702731385,0.6125346515737139,0.14142568872928427,0.503226131567201,0.7050352516530407,0.6400813550369574,0.19868505431588676,0.13446891125493576,0.18236204367258335,0.8729079031269357,0.07657962284699005,0.18804527595259657,0.9423061159215202,0.5390365782581217,0.08787089102510569,0.07481635618102829,0.08497492121796059,0.30679355455199997,0.001,-8.000000000004206e-05,True,1,0.07014175205721582,2.222827037508572,0.06306091556193405,0.10496566497513249,0.5586453225356185,-0.32753320151292503,0.07014175205721582,0.06284681649904882,0.0700899406998362,2.5246290606618347,0.05068404872470857,0.11589419532327283,0.6063999003091096,-0.4247831749753233,0.06623847770536691,0.05166043646210651,0.06756307695178641,1.8419243131799306,0.07196187053991444,0.11286152882416611,0.4679145898519551,-0.10191809899387134,0.07701466282366583,0.06964661328286445,0.07488590041867522,2.439511200960368,0.05552150240615885,0.11307721537501858,0.5901368357410886,-0.3919155022590963,0.06759307238085531,0.05625441340388832,0.06865268678507087
OGLE-LMC-CEP-0002,F,3.118149,24,19,5,derd_k,fourier_order2,derd_k,fourier_order2,0.43617403344012773,0.24531056123232917,0.19086347220779856,0.8692654453107228,234.84444601937278,0.39660612592793665,0.36213082999954427,0.9467512191943663,1.0796401995677067,191.136487914874,0.40152164450072153,0.4163473674586043,0.048821572617636755,0.4,0.5503621849427867,0.27518109247139333,4.150244065389464,0.2,0.3599365574416293,0.17996827872081467,4.467879087482737,0.6,0.5236829098243465,0.26184145491217325,1.1014834934917688,0.2,0.43315650877004597,0.21657825438502298,3.3009188039960975,0.4,0.469038375346862,7.89277638764816,4.624126840493482,0.2,0.32258845418653276,5.428379996089846,4.697786479775638,0.6,0.4617726340701293,7.770511613160685,1.2994484995232125,0.2,0.39855720303223785,6.706749482691314,3.5041595376666725,17494.52016495903,0.0897866034307124,6.494758397645662,False,1.5,False,0.001,e793fbe2bca3f68121cec05e31e1af26866dcc8f6f52ed8cb5b8809ab68ae063,24,0.7131010543539177,0.09221068557690178,0.31551624792686817,0.8007464299705671,0.5208810822171294,0.1263217879153406,0.08664122451085585,0.11961762258127097,1.3516772666467238,0.06024773723522575,0.19485967675326615,0.9172281179170696,0.12468491871828195,0.08141728638832708,0.05917842753325201,0.07983973538604756,0.7506369811032829,0.06528738072864675,0.2831902023902322,0.8577617786430994,0.5296445151739883,0.10672922716435006,0.06008514333160381,0.09912995546090074,0.5899983340941282,0.07351282526237601,0.5184066915544449,0.7425145420571571,0.6251589461474728,0.1435990482105699,0.06606450269127369,0.13064806493525355,3.1171511923199997,0.001,-0.0003200000000000414,True,1,0.43617403344012773,0.16050643778311763,0.4130508684228322,0.6803039788448223,-1.4954168237777363,0.6806897774051442,0.47294267118246813,0.4146007775144093,0.474774616393356,0.27109951486950207,0.3552067469523094,0.6693888953953482,-1.1224902969825554,0.5915232313968266,0.43617403344012773,0.35105085965712907,0.4348279823622064,0.15646451242577453,0.22358274995676347,0.3463870277763258,0.3286351632798643,0.5104081906851666,0.24531056123232917,0.22142988768390265,0.24413576942462314,0.19279075048347147,0.3354471936688733,0.5209665939064481,-0.5137669380227576,0.36265836188103334,0.36835490595120685,0.3291333779103919,0.3640866482411719
OGLE-LMC-CEP-0003,1O,0.3500957,24,19,5,derd_k,periodic_krr,derd_k,derd_k,0.10617332801736205,0.1247202480729807,-0.018546920055618643,0.1918779893212135,19.760423891667255,1.0941981250976575e-32,0.7825460529576468,0.6310640387976885,1.9999999999999998,98.40588525905832,0.5247033172663601,1.4078125869651096e-29,0.33181949856892445,1.0,0.4426772865116142,0.2213386432558071,0.4426772865116142,1.0,0.30427730212822157,0.15213865106411079,0.30427730212822157,1.0,1.3237734218194699,0.6618867109097349,1.3237734218194699,1.0,0.9543133602763143,0.47715668013815715,0.9543133602763143,1.0,0.5199965299676247,3.789603365120079,0.5199965299676247,1.0,0.3458183654956246,2.520236897896488,0.3458183654956246,1.0,1.5673123066359662,11.422176205274999,1.5673123066359662,1.0,0.9712667388007621,7.078346661308945,0.9712667388007621,1806.5515542944972,0.08557123946250218,6.109951791361234,False,1.5,False,0.01,45b86328fe30b498fcb96eeb62d0844ca2561f70a9da78de364e7a362d8683d5,24,1.3540097312023178,0.09749655083683843,0.3069057072956395,0.8856782833760215,0.2896998598805263,0.13222080427406147,0.09520154338006155,0.13054235592236715,1.633905236715645,0.08637904197492526,0.17993892945294665,0.9348111096007452,-0.5164377987691264,0.09984405720697531,0.08907157933233471,0.10268199700847407,0.5514623276639439,0.24906845567702637,0.6671328740030879,0.3121551927945042,0.5814403398873806,0.32432517232306984,0.2544993256248561,0.3367232342333782,0.7288242295489911,0.21272075098377694,0.5997141882025869,0.5012244917929229,0.48233376232800806,0.27617730409052743,0.20899153952964847,0.2757063290293157,0.349983669376,0.001,-0.00032000000000001006,True,1,0.10617332801736205,1.2489731177883596,0.10283224401291154,0.15314599390578681,0.005494915634752795,0.22216462122208158,0.1107540528204053,0.11219635771652621,0.11904311289914166,1.368120228377108,0.10012889076029505,0.14200725156787714,0.08605804494987845,0.18741658264304947,0.10617332801736205,0.10822758429898038,0.11301797284260716,1.1097450703265948,0.09956910308855985,0.1993625771571531,-0.1585772026055281,-0.01935958825119209,0.11954147569332695,0.10679704084783057,0.12837041107761116,0.9813937603917563,0.10466987214870112,0.2024479731705997,-0.2611353090684372,0.1416607011271707,0.1247202480729807,0.11517090301567887,0.13605483271108987
OGLE-LMC-CEP-0004,1O,2.2296385,24,19,5,derd_g,fourier_order2,derd_g,fourier_order2,0.08528022908773739,0.04324402382515132,0.042036205262586064,0.23588065087038582,27.559340780811855,9.294925145681803e-22,0.6437164300407888,0.06512933147783988,0.3198931909260003,25.022214125746245,0.2125343320701405,0.6809150797712382,0.401579386268445,0.6,0.1794376369191963,0.08971881845959814,0.3187735148805062,1.0,0.21727906966718535,0.10863953483359268,0.21727906966718535,1.0,0.2497065349521983,0.12485326747609915,0.2497065349521983,1.0,0.387950047311477,0.1939750236557385,0.387950047311477,0.6,0.2094952182279763,4.156644148834248,0.23983213227932615,1.0,0.24653493337104954,4.8915578930534585,0.24653493337104954,1.0,0.2833286429799785,5.621590583314824,0.2833286429799785,1.0,0.38338611712061044,7.606854580993273,0.38338611712061044,1520.5942220537731,0.022614523794388146,5.851599560954545,False,1.5,False,0.01,90288a5f96940f59d9bddbede8c2b683a72b07ed0f6dcdc92571f501ad4a04c7,24,0.5159276689122405,0.03461764492907438,0.1093620680912013,0.9756339251388627,0.6771490056459902,0.046440205990960076,0.034732245556345125,0.04623791108935471,0.4531585260647698,0.051250862264519456,0.1537862188112593,0.9559224302098192,0.7233503449782291,0.06246117808284789,0.050317836146024544,0.06146689539105808,0.37326308229418936,0.04715254160757987,0.1941575509213571,0.9486881095695676,0.7418552599389288,0.06739231233537281,0.04616833127038668,0.06600836898647243,0.2882675207767702,0.07631987045391413,0.25966015980643675,0.8784178659750711,0.8426807595731703,0.10373760837338451,0.06860138557217833,0.09401991544297043,2.225179223,0.005,-0.0020000000000000174,True,2,0.08528022908773739,0.28682407148547256,0.07722661030910256,0.1074696238494649,-0.24441410570178101,-0.4528142493504278,0.08528022908773739,0.07827219614649607,0.08597936840344267,0.2940738297575165,0.06900120066626665,0.09430627259002611,0.010008570838077824,-0.5053654645494449,0.07606442962779837,0.0698405885932748,0.07660234093931421,0.7912881950544005,0.03686679789664602,0.07246032000588909,0.680021790031085,-0.4718766918928377,0.04324402382515132,0.036944738959804435,0.04319776056520865,0.7111747727709755,0.039539964409496364,0.07081246656000251,0.6513923096630951,-0.46257301525537126,0.04513717531349196,0.039699847413948816,0.04516598287715659
OGLE-LMC-CEP-0005,F,5.6119491,24,19,5,derd_k,periodic_krr,periodic_krr,derd_k,0.03731547632514775,0.16626058637152125,-0.1289451100463735,1.2061220652337663,23.89172945634918,0.35245879558211685,0.47371524242463864,0.9008458246841924,0.8119843478713955,11.870132244897965,0.5792930557259589,0.5455498302295178,0.22166329105809784,1.0,0.8952496533025505,0.44762482665127523,0.8952496533025505,1.0,0.7597353210105005,0.3798676605052502,0.7597353210105005,1.0,0.5831973095027865,0.2915986547513932,0.5831973095027865,0.4,0.2158485943264281,0.10792429716321406,1.3333957691026017,1.0,1.081245076383404,42.89796009043426,1.081245076383404,1.0,0.9175765354019694,36.40447707494115,0.9175765354019694,1.0,0.789578825445157,31.326219820110158,0.789578825445157,0.4,0.2430490710456572,9.64287336651567,1.2288748220888277,13251.139251096161,0.09596944050468614,10.866777399884969,False,0.7,False,0.001,450368e130f5aa0d1823d415b3041463e65f8eaf10e6d90ff72d14c4f9621ed7,24,0.5187252876256665,0.11126086427350282,0.5123882969835818,0.7013466825632092,0.673164280963415,0.18475929873410105,0.13483659222642758,0.21538846004542556,0.49337918835942407,0.09801296913399633,0.44868298396604367,0.7890717175520144,0.6678784202372012,0.15527088976838122,0.1213836263196832,0.18368132050650474,0.6916252784562457,0.14551175319889312,0.3272115354070322,0.7459551698157807,0.6529102299286248,0.17040322674424227,0.16135684382504115,0.1842585811487673,0.7994759752334946,0.04968680851695878,0.13351722821599632,0.965137211912922,0.5945878565252035,0.06312533437512816,0.049847117073226296,0.06547481582749054,5.5838893545,0.02,-0.005000000000000041,True,3,0.16626058637152125,0.03480816467701475,0.04120267334465526,0.054412682765052844,0.6649594726614642,0.3210648805943346,0.04187545116403915,0.04153647707407322,0.04224392862510151,0.1883298059194485,0.03252529257394897,0.067048573559017,0.733954250581093,0.8616771476766524,0.03731547632514775,0.033563037681994215,0.038492855140433865,0.041269250089188025,0.15541301298786322,0.19490388894300809,-3.7568351344144313,0.049591756943107294,0.15778651248002462,0.1559855973087291,0.15830953995216812,0.1389644696392558,0.15143766835841604,0.24760663888637646,-4.2814960701942955,0.5835884943619588,0.16626058637152125,0.15450040773687485,0.16861376688861535
OGLE-LMC-CEP-0006,1O,3.2947501,24,19,5,derd_k,fourier_order2,derd_k,periodic_krr,0.21517999858597647,0.42068032950132606,-0.20550033091534958,1.9999999999999998,666.1066345536198,0.47817002640847417,0.5795194338789835,0.5693194150893309,0.18442434396108712,178.0022735523705,0.4300814701805968,0.9799999999999986,0.38638868241930346,0.4,0.32216880972264583,0.16108440486132292,1.380195880656687,0.2,0.2589914145276959,0.12949570726384796,1.8311956083286929,0.2,0.4665488751338951,0.23327443756694755,3.506522441496783,1.0,0.531647679287421,0.2658238396437105,0.531647679287421,0.4,0.3236808453783298,5.704546869836163,1.286055363814351,0.2,0.25986408298645636,4.579841106910554,1.788768466099394,0.2,0.44746393433469506,7.88609836640167,3.7133045890604857,1.0,0.5098997659904045,8.986466624587887,0.5098997659904045,124890.81976491261,0.09185553342242109,7.943394144679347,False,1.0,False,0.0001,4afcf12f90c25b367b86a81de44c5901967d738af7ec283abdae005404ab4878,24,0.5874265623201484,0.05496348692113066,0.1715553545868459,0.9496952018995223,0.6712275070790549,0.07494308267644656,0.05243412634650661,0.07222675431186988,0.9869092093038624,0.05778492015852285,0.13270311138620572,0.9570977471820603,0.4552829371183868,0.06920968888164748,0.054903596630029146,0.06644973807351365,0.6113251396820276,0.07662141809882254,0.2466471656077589,0.9092454846628805,0.6489595187422764,0.10066093706463122,0.07178334611242143,0.09414451935203128,0.5536641868317118,0.08275400622220362,0.28154827262164894,0.8831641994132966,0.687429302426385,0.11421281020069791,0.07591523277416164,0.1056553197854735,3.292707354938,0.001,-0.0006199999999999919,True,1,0.21517999858597647,0.17269661362297514,0.1688549035124166,0.2774632502741514,0.7016164474797679,0.7095766195007304,0.19624404766878287,0.15728812550658938,0.18695060664121826,0.06602531449663748,0.20388919232341887,0.279657575325425,0.6412551335607252,0.7311982360417675,0.21517999858597647,0.1959411794921978,0.2079052015535807,0.32767043141605035,0.3784632746461958,0.6045509634442175,-0.3711542221317423,-0.05611087731063919,0.42068032950132606,0.3712834498566404,0.4127214953355766,0.1744288217971536,0.10956798145093752,0.14241560855565766,0.8886368700572497,0.7090513817340496,0.11988911851635836,0.11392130352513175,0.12285295669305461
OGLE-LMC-CEP-0007,1O,0.7090827,24,19,5,derd_k,periodic_krr,derd_k,periodic_krr,0.16590602870701662,0.14881354351681472,0.0170924851902019,1.9999999999999998,108.95685347001216,0.5831859609612776,0.6825867712227955,0.511888278059387,0.5993030353891747,47.52002455919086,0.1597300209800707,0.5531807837409051,0.08803872377737507,0.6,0.20332339171227676,0.10166169585613838,1.505292358613137,0.6,0.21801834203122397,0.10900917101561196,1.2640144324339557,0.8,0.3671446980378912,0.1835723490189456,0.837123030041899,0.6,0.2558724107072803,0.12793620535364014,0.9925906553483628,0.6,0.21952125664170102,1.681528224123435,1.4012611181543657,0.6,0.2359027265157163,1.8070099399590203,1.1507866757491008,0.8,0.3464243744876564,2.653603446595078,0.7716206881191314,0.6,0.2710288121610501,2.076075019665682,0.8786761464869782,156.15862238917296,0.07730850466429484,6.003561015188196,False,1.0,False,0.1,8851b3c1b637300484849de12ced3a8c7d959827b97e982168c5a76dfe4bbb5c,24,1.7217923143719813,0.05675385940958717,0.1045348437251451,0.9582935869418774,0.07976080878010104,0.06484802685556366,0.05889165942429956,0.06632888738876173,1.5184779394853476,0.0448956698878591,0.1302848419449626,0.9664915173004918,0.1791047640068642,0.058126306506697645,0.04586871185667981,0.05789665927480263,1.0042153745454085,0.09221268471030053,0.3412484985553781,0.8579876724542091,0.4310553912403708,0.1196625818301351,0.08766840134004014,0.1149757351851837,0.9895220872555555,0.05833885801316606,0.21735267969760075,0.9350930849112766,0.45476638767109345,0.08089856729387696,0.05442235418575228,0.07611754518847566,0.7093946963879999,0.001,0.00043999999999992466,True,1,0.16590602870701662,0.5637075009278582,0.1465209215878298,0.33462474343896315,-5.006207264437296,0.12382444427367538,0.18102128440428872,0.12736322896642985,0.15955345487866593,0.6185121311574494,0.13394181500352148,0.3114627411815297,-4.045048740536313,0.05181618623241896,0.16590602870701662,0.11702665680945844,0.1462113927576161,0.8126185427613779,0.10763651018879043,0.30106693201994755,-3.37162410903323,0.15250784876967483,0.15443683431347865,0.08758671200435131,0.1332391892781142,0.8030844933979182,0.1091408446778542,0.2902954168963889,-3.0590644501680764,0.073110757235417,0.14881354351681472,0.09192818311145882,0.12906191006561368
OGLE-LMC-CEP-0009,1O,2.0243667,24,19,5,derd_k,fourier_order2,derd_k,fourier_order2,0.10197188119543915,0.08165397738868005,0.020317903806759102,1.6175406524184397,39.91893727233861,0.6029794165486061,0.23226271882944424,0.594820862250417,0.7311288354379182,18.089704287021434,0.1998693836157117,0.546482980562598,0.3910533350954003,1.0,0.3992126699800056,0.1996063349900028,0.3992126699800056,0.2,0.12063415522459153,0.060317077612295766,0.9307160691043934,0.8,0.2639975067763677,0.13199875338818384,0.29658628424557587,1.0,0.3680546881123481,0.18402734405617405,0.3680546881123481,1.0,0.4007068998529794,6.510320668117141,0.4007068998529794,0.2,0.11022821934532119,1.7908876909204499,1.006612892478199,0.8,0.25847725319516407,4.199502939260685,0.2670133367941004,1.0,0.34748091061524433,5.64555328342138,0.34748091061524433,10463.1169234813,0.06032445644426929,9.490962335486895,False,1.0,False,0.001,256b9dad787c2e7c38abf0baa272dc73063ed7aa422212e468a6a96015396b9b,24,0.6957258548939649,0.06089612141165478,0.2296547659510208,0.9373310965127937,0.5850671316874044,0.0893470256012401,0.0631307060766059,0.09223558870614679,2.6083456504588547,0.028894528661696846,0.10307881110947532,0.9885845270456874,-0.374611500873926,0.03813300285813097,0.02879605847695508,0.037832899433225604,1.4876147533794442,0.05654827507115827,0.1430610447519337,0.9610557948620724,0.2446486245311271,0.07043288426702189,0.05657440016506441,0.07035402656935867,1.1730251369585496,0.07808410196974397,0.18656288130883897,0.9255197208526303,0.39899128030412995,0.09740353060228713,0.07839827838016035,0.09794194080318963,2.023718902656,0.001,-0.00032000000000000035,True,1,0.10197188119543915,0.1664831170490788,0.08745693836164832,0.14671431202016774,0.6927565003838607,0.8243805273319896,0.10010475287513816,0.08695434635946254,0.09902865583543909,0.1696094416807619,0.08919000332732996,0.15151101418197493,0.6811883593898644,0.8349603025215699,0.10197188119543915,0.08858864305737332,0.10077410271635662,0.2865108769354599,0.07153295000872836,0.1401459477554859,0.7955778291476521,0.7077956170751121,0.08165397738868005,0.0700553082577591,0.07951918186766134,0.14828532024356328,0.09134147617842689,0.13781609450905458,0.6858192494403967,0.7935157754225485,0.10122857717990587,0.09116116033732238,0.10063702153997675
OGLE-LMC-CEP-0010,1O,2.5655853,24,19,5,derd_g,periodic_krr,periodic_krr,fourier_order2,0.0760629461037468,0.06406856913142364,0.011994376972323154,1.9997642948827499,2428.722148639363,1.8632390588032517e-06,0.34196307682524896,0.5094240251990008,0.08852859476536055,378.83616414976683,0.2565812931234827,0.9799999999999999,0.4127376479012607,0.8,0.19978885313031153,0.09989442656515576,0.24085253983588223,1.0,0.2153644857065146,0.10768224285325728,0.2153644857065146,0.8,0.1722892031409739,0.08614460157048696,0.18569118727169925,0.8,0.17630730589318944,0.08815365294659472,0.2254221623713455,0.8,0.1718493715500468,4.70360700585747,0.2609141308404953,1.0,0.19054183073940498,5.215229371460158,0.19054183073940498,1.0,0.17892783450058386,4.897348231819141,0.17892783450058386,0.8,0.14792046030003822,4.048660213891438,0.24702806259569546,1658.3123593088667,0.049952363724313886,6.058264339396749,False,1.5,False,0.01,8b2e368df3a3de9beb178268cbe53020a827202ee54acf599cbb41a83ff88752,24,1.014506053953646,0.04924150346491999,0.11709115565319406,0.9708745708823349,0.18196501665401507,0.06067650887643877,0.04762790811588522,0.05953843920763731,0.9316328689809942,0.05295343402548879,0.11799245179973195,0.9658665575770592,0.2115352207242195,0.0656862491959754,0.05138968409194213,0.06464091438264571,1.4391486963207816,0.04801147567176385,0.09618115094811985,0.9778566893041565,0.2504344337960449,0.0529060935445111,0.04927632325389991,0.05431069482590721,1.3200513681121175,0.04754394181022637,0.09543203624565433,0.9770122085945947,0.29076077557899005,0.05390549549921781,0.04790261783929215,0.05393046452673652,2.56635497559,0.001,0.0002999999999999856,True,1,0.06406856913142364,0.20159393425936353,0.0728719376689391,0.11016034824154847,0.49754635796795765,-0.30923998187677326,0.0760629461037468,0.07258782459603898,0.07571939414743217,0.28221019171471656,0.0595363013899566,0.09718537122044046,0.6509518737447428,-0.24099861282883295,0.0633968674124089,0.05915775924601044,0.06297379770561234,0.33599432862231443,0.0536339776213848,0.08949509760316829,0.7107371595236507,-0.28791335283646835,0.05771270984611252,0.05331064353471771,0.057349659232615244,0.2825494674491805,0.05979321818463408,0.10043236706613373,0.6435162293690844,-0.11244301775065439,0.06406856913142364,0.059236522167508424,0.06348699142644615
OGLE-LMC-CEP-0012,F,2.6601839,24,19,5,derd_k,periodic_krr,derd_k,derd_k,0.4967481935970877,0.769723865024874,-0.2729756714277863,1.2557666939572834,41.164912251742564,0.4376246908150729,0.41391148877440304,0.8338470035533793,0.6974982247854697,9.54974563646135,0.4782182299958934,0.8985080879342016,0.3225212202760485,0.0,0.2270346901051022,0.11351734505255112,8.763337682348032,0.2,0.10290096897597323,0.051450484487986614,7.307212983794335,1.0,2.671135595531993,1.3355677977659968,2.671135595531993,0.4,1.511400560631401,0.7557002803157005,3.7320612050746007,0.0,0.28973961602799053,8.250465780916143,8.198993349042038,0.2,0.12896798465288276,3.672421323667159,7.083976113719963,1.0,2.700796724896592,76.90640053107914,2.700796724896592,0.6,1.4725001147969958,41.93010253852914,3.2442344765191633,989.9998407936191,0.04559563528176831,7.735016504830352,False,0.7,False,0.01,a5d5065333cbfc177a2cd67c22bfbcd1dadfc003ef02b5a76b49c03d2962dcbc,24,1.2999115876785643,0.06997909970077547,0.42352801409735746,0.8348993026445295,-0.03428159161709999,0.11199473248889222,0.07920888860742134,0.12564223921094872,1.922704259855683,0.015885185432929494,0.05442408651370628,0.9928637312511236,-0.12227107375621828,0.02328406169887012,0.016542556413102687,0.024093581840869835,0.15705409793287095,0.2722417574537954,1.410412808591401,-2.6123110552084876,0.9116476899650566,0.5238605722703684,0.21795637957742545,0.44128216772461987,0.1525751782678892,0.14162989118932998,0.7557341122766743,-0.12195109607561361,0.9162565423104174,0.29195109367799155,0.109520864850567,0.24640465349963653,2.6620460287299994,0.001,0.0006999999999998419,True,1,0.4967481935970877,0.17361616779936212,0.5403324946646976,0.827061718610401,-0.7500711613151085,0.3711696269378413,0.5884356720976143,0.4988917244753992,0.5560264988417444,0.2613352263289987,0.41075529910332864,0.6695051220031281,-0.24718338361557657,0.6940074087381952,0.4967481935970877,0.3535802701685818,0.455467815712181,0.18392399485641436,0.5041684043272981,0.763317479310545,-0.6644438537515478,0.6028607630019193,0.5738596820369883,0.4492474182073067,0.5323184909228458,0.1157388518702977,0.716473139281349,1.0030836913884211,-1.994522819348266,0.55549756671861,0.769723865024874,0.6613193324329789,0.7237934511206788
