sample_count,seed_index,noise_ratio,threshold,holdout_roc_auc,holdout_balanced_accuracy,holdout_sensitivity,holdout_specificity,holdout_sample_count
24,0,0.021728521173083562,1.8201370692608605,0.5452380952380952,0.5273809523809524,0.15,0.9047619047619048,41
24,1,0.021728521173083562,2.248556044240885,0.6737967914438503,0.6082887700534759,0.35294117647058826,0.8636363636363636,39
24,2,0.021728521173083562,2.2018355820067987,0.4954545454545455,0.49090909090909096,0.18181818181818182,0.8,42
24,3,0.021728521173083562,2.9713682458442454,0.5284090909090909,0.543560606060606,0.5416666666666666,0.5454545454545454,46
24,4,0.021728521173083562,2.3351747701274563,0.6172413793103448,0.6137931034482759,0.4,0.8275862068965517,49
40,0,0.021728521173083562,1.920677118298402,0.7022727272727273,0.7022727272727273,0.45,0.9545454545454546,42
40,1,0.021728521173083562,2.084288543344824,0.639751552795031,0.6697722567287785,0.43478260869565216,0.9047619047619048,44
40,2,0.021728521173083562,1.7825399383978313,0.7822966507177034,0.687799043062201,0.42105263157894735,0.9545454545454546,41
40,3,0.021728521173083562,1.7550181817986097,0.6318681318681318,0.5494505494505494,0.21428571428571427,0.8846153846153846,40
40,4,0.021728521173083562,1.9637299863416446,0.9057017543859649,0.8475877192982456,0.7368421052631579,0.9583333333333334,43
60,0,0.021728521173083562,1.827852825789018,0.7437641723356009,0.7619047619047619,0.5714285714285714,0.9523809523809523,42
60,1,0.021728521173083562,1.6468886036922945,0.85,0.7394736842105263,0.5789473684210527,0.9,39
60,2,0.021728521173083562,1.9818197660916168,0.8590909090909091,0.7378787878787878,0.5666666666666667,0.9090909090909091,52
60,3,0.021728521173083562,1.9669363918804277,0.6410256410256411,0.6041666666666667,0.5,0.7083333333333334,50
60,4,0.021728521173083562,1.754948048050759,0.7223529411764706,0.7305882352941176,0.52,0.9411764705882353,42
80,0,0.021728521173083562,1.9744684201200227,0.6968325791855203,0.6798642533936652,0.6538461538461539,0.7058823529411765,43
80,1,0.021728521173083562,1.5568865036156816,0.8814814814814815,0.8111111111111111,0.7333333333333333,0.8888888888888888,42
80,2,0.021728521173083562,1.8692731209262925,0.8704453441295547,0.7793522267206479,0.7692307692307693,0.7894736842105263,45
80,3,0.021728521173083562,1.6844287411552954,0.7526315789473684,0.7223684210526315,0.55,0.8947368421052632,39
80,4,0.021728521173083562,1.9724659170956858,0.7278582930756844,0.7278582930756844,0.6296296296296297,0.8260869565217391,50
120,0,0.021728521173083562,1.813447660018698,0.7338461538461538,0.6876923076923077,0.6153846153846154,0.76,51
120,1,0.021728521173083562,1.8606431877635632,0.7513368983957219,0.6804812834224598,0.7727272727272727,0.5882352941176471,39
120,2,0.021728521173083562,1.4661815858706584,0.8378947368421052,0.7210526315789474,0.6,0.8421052631578947,44
120,3,0.021728521173083562,1.509918043258484,0.6928104575163399,0.775599128540305,0.5882352941176471,0.9629629629629629,44
120,4,0.021728521173083562,2.0166886826553645,0.8666666666666667,0.8583333333333334,0.8,0.9166666666666666,44
160,0,0.021728521173083562,1.4045357872240007,0.8112874779541446,0.828042328042328,0.7037037037037037,0.9523809523809523,48
160,1,0.021728521173083562,1.9277430937205666,0.8564814814814815,0.8402777777777777,0.7916666666666666,0.8888888888888888,51
160,2,0.021728521173083562,1.8871544915792038,0.8580542264752791,0.7440191387559809,0.9090909090909091,0.5789473684210527,52
160,3,0.021728521173083562,2.103420016098854,0.9238095238095239,0.7261904761904762,0.9523809523809523,0.5,41
160,4,0.021728521173083562,1.5353902774358459,0.8375149342891278,0.8387096774193548,0.6774193548387096,1.0,58
240,0,0.021728521173083562,1.3710655810232129,0.8253205128205128,0.7740384615384616,0.625,0.9230769230769231,50
240,1,0.021728521173083562,1.302093385399218,0.9549071618037135,0.8521220159151194,0.8076923076923077,0.896551724137931,55
240,2,0.021728521173083562,1.5416964701733737,0.8977272727272727,0.8428030303030303,0.9583333333333334,0.7272727272727273,46
240,3,0.021728521173083562,1.65784814394436,0.8742690058479532,0.8362573099415205,0.7777777777777778,0.8947368421052632,37
240,4,0.021728521173083562,1.3667168051169627,0.8636363636363636,0.8160173160173161,0.7272727272727273,0.9047619047619048,43
400,0,0.021728521173083562,1.2849811368262452,0.9219047619047619,0.8247619047619048,0.84,0.8095238095238095,46
400,1,0.021728521173083562,1.4788423768022207,0.892,0.8866666666666667,0.84,0.9333333333333333,55
400,2,0.021728521173083562,1.253747913345609,0.91,0.8500000000000001,0.8,0.9,45
400,3,0.021728521173083562,1.415061690477763,0.8796791443850267,0.8502673796791445,0.8181818181818182,0.8823529411764706,39
400,4,0.021728521173083562,1.351933871651357,0.8888888888888888,0.775462962962963,0.625,0.9259259259259259,51
