variant_id,source_scope,sample_count,weighting,period_mode,covariance_scale,period_days,period_minus_published_days,residual_rmse_mag,quoted_error_reduced_chi_square,fit_objective_reduced,design_condition_number,mahalanobis_chi_square,degrees_of_freedom,joint_p_value,marginal_pass,joint_pass,r21,r21_se,r21_published,r21_difference,r21_z,phi21,phi21_se,phi21_published,phi21_difference,phi21_z,r31,r31_se,r31_published,r31_difference,r31_z,phi31,phi31_se,phi31_published,phi31_difference,phi31_z
ogleiii_only_unweighted_free,ogleiii_only,33,unweighted,free,curve_fit_default_residual_scaled,3.1181245981838286,3.5981838286680556e-06,0.01179136110622662,4.923180270766061,0.0001835277796934127,2.105127849513411,1.6011242959793903,4,0.8085900497285858,True,True,0.3393215920187893,0.019690202567608936,0.314,0.025321592018789307,1.2464407169889058,4.254203565930289,0.0641215308314801,4.238,0.016203565930288377,0.19777261847983016,0.1240175461884845,0.019570354019497013,0.117,0.007017546188484491,0.34742083526860573,2.3887489771276345,0.16535630328283876,2.283,0.10574897712763454,0.5715600913260829
ogleiv_only_unweighted_free,ogleiv_only,32,unweighted,free,curve_fit_default_residual_scaled,3.118112272862815,-8.727137184916245e-06,0.00687669237462446,2.6621144587288317,6.305186402029093e-05,1.8645372570995746,1.6590507776752506,4,0.7981419573130617,True,True,0.3135506656685731,0.010393675399045876,0.314,-0.00044933433142690937,-0.03895805570244144,4.194438104340523,0.04061616635502345,4.238,-0.043561895659477656,-0.668156078633691,0.11603749280056488,0.010628737226277114,0.117,-0.0009625071994351225,-0.08194294492962573,2.1361612080750216,0.09624400855612256,2.283,-0.14683879192497828,-1.1553907087893225
merged_ogleiii_iv_unweighted_free,merged_ogleiii_iv,65,unweighted,free,curve_fit_default_residual_scaled,3.118129483183655,8.483183655094706e-06,0.010525236448732687,3.966398337168825,0.00012632875701074593,1.7445716260359696,0.7741598736714553,4,0.9418783392731293,True,True,0.3233483809981587,0.010454398589847588,0.314,0.009348380998158712,0.8066912972796184,4.2270037496163395,0.03836400245694897,4.238,-0.010996250383660922,-0.17230514868638558,0.12050664380688271,0.010820617332056987,0.117,0.0035066438068827033,0.2941821905391227,2.2682952073435088,0.09134207033864401,2.283,-0.014704792656491161,-0.11914480494715672
