variant_id,source_scope,sample_count,weighting,period_mode,covariance_scale,period_days,period_minus_published_days,residual_rmse_mag,quoted_error_reduced_chi_square,fit_objective_reduced,design_condition_number,mahalanobis_chi_square,degrees_of_freedom,joint_p_value,marginal_pass,joint_pass,r21,r21_se,r21_published,r21_difference,r21_z,phi21,phi21_se,phi21_published,phi21_difference,phi21_z,r31,r31_se,r31_published,r31_difference,r31_z,phi31,phi31_se,phi31_published,phi31_difference,phi31_z
ogleiii_only_unweighted_fixed,ogleiii_only,33,unweighted,fixed,curve_fit_default_residual_scaled,3.118121,0.0,0.01179236953847381,4.737840380447957,0.00017649920453667402,2.104432893245418,1.7064486899585554,4,0.7895458803674629,True,True,0.33904727485525754,0.01888927709060667,0.314,0.02504727485525754,1.2818576388295293,4.2539002456997705,0.062488707947435114,4.238,0.01590024569977011,0.1971297595586164,0.12383399220651096,0.018714711546426895,0.117,0.006833992206510958,0.35279276303772994,2.387274270290414,0.16107609212176976,2.283,0.10427427029041425,0.5754557135375374
ogleiii_only_unweighted_free,ogleiii_only,33,unweighted,free,curve_fit_default_residual_scaled,3.1181245981838286,3.5981838286680556e-06,0.01179136110622662,4.923180270766061,0.0001835277796934127,2.105127849513411,1.6011242959793903,4,0.8085900497285858,True,True,0.3393215920187893,0.019690202567608936,0.314,0.025321592018789307,1.2464407169889058,4.254203565930289,0.0641215308314801,4.238,0.016203565930288377,0.19777261847983016,0.1240175461884845,0.019570354019497013,0.117,0.007017546188484491,0.34742083526860573,2.3887489771276345,0.16535630328283876,2.283,0.10574897712763454,0.5715600913260829
ogleiii_only_quoted_relative_fixed,ogleiii_only,33,quoted_relative,fixed,curve_fit_quoted_errors_residual_scaled,3.118121,0.0,0.011856051183729267,4.686707337909261,4.686707337909261,2.253391662659785,2.292320228184968,4,0.6821676282028915,True,True,0.3427990259077185,0.019243022050485878,0.314,0.02879902590771849,1.4484974785287252,4.253790624109129,0.06303914005223892,4.238,0.015790624109128792,0.19473930857601998,0.12290955577803042,0.018651364314752634,0.117,0.005909555778030415,0.30603714379169433,2.449948323976675,0.1634361086951386,2.283,0.16694832397667492,0.9107728747589674
ogleiii_only_quoted_relative_free,ogleiii_only,33,quoted_relative,free,curve_fit_quoted_errors_residual_scaled,3.1181329616622655,1.1961662265580486e-05,0.011861508011350462,4.865452417865983,4.865452417865983,2.2544695778597306,2.2572166042397077,4,0.6885688848297772,True,True,0.34354867914788195,0.019927973749801015,0.314,0.02954867914788195,1.4381956770958595,4.254402794117507,0.06435192475323903,4.238,0.016402794117506225,0.19976434578622276,0.12339962661153384,0.019365887481668575,0.117,0.006399626611533829,0.3199662933331071,2.454757261173346,0.1672901010471934,2.283,0.171757261173346,0.9197253049926247
ogleiii_only_quoted_absolute_fixed,ogleiii_only,33,quoted_absolute,fixed,curve_fit_quoted_errors_absolute,3.118121,0.0,0.011856051183729267,4.686707337909261,4.686707337909261,2.253391662659785,8.701749750140124,4,0.06900234430819654,False,True,0.3427990259077185,0.008888722747516597,0.314,0.02879902590771849,2.8238493224876513,4.253790624109129,0.029118993716066154,4.238,0.015790624109128792,0.26887969064903866,0.12290955577803042,0.008615424636619122,0.117,0.005909555778030415,0.5932573082741841,2.449948323976675,0.07549428843934587,2.283,0.16694832397667492,1.4879797140894362
ogleiii_only_quoted_absolute_free,ogleiii_only,33,quoted_absolute,free,curve_fit_quoted_errors_absolute,3.1181329616622655,1.1961662265580486e-05,0.011861508011350462,4.865452417865983,4.865452417865983,2.2544695778597306,8.913405477617752,4,0.06330075481721475,False,True,0.34354867914788195,0.009034446025065786,0.314,0.02954867914788195,2.8616483088734097,4.254402794117507,0.029174265185793823,4.238,0.016402794117506225,0.2791732326067186,0.12339962661153384,0.008779621419482195,0.117,0.006399626611533829,0.6334036731254024,2.454757261173346,0.07584179944304481,2.283,0.171757261173346,1.5276531474769195
ogleiv_only_unweighted_fixed,ogleiv_only,32,unweighted,fixed,curve_fit_default_residual_scaled,3.118121,0.0,0.0068978529800344714,2.5294355973667773,6.090288093973817e-05,1.8719370034787732,1.6334414282087932,4,0.8027695089531466,True,True,0.31321978628747166,0.010174135856922048,0.314,-0.0007802137125283437,-0.06882401105803736,4.194840015315256,0.0398919555368632,4.238,-0.04315998468474458,-0.6665789228048067,0.11565675140682408,0.010353258320229711,0.117,-0.0013432485931759303,-0.11683074937363894,2.1395261644150314,0.0946770420877165,2.283,-0.1434738355849685,-1.1395162134285284
ogleiv_only_unweighted_free,ogleiv_only,32,unweighted,free,curve_fit_default_residual_scaled,3.118112272862815,-8.727137184916245e-06,0.00687669237462446,2.6621144587288317,6.305186402029093e-05,1.8645372570995746,1.6590507776752506,4,0.7981419573130617,True,True,0.3135506656685731,0.010393675399045876,0.314,-0.00044933433142690937,-0.03895805570244144,4.194438104340523,0.04061616635502345,4.238,-0.043561895659477656,-0.668156078633691,0.11603749280056488,0.010628737226277114,0.117,-0.0009625071994351225,-0.08194294492962573,2.1361612080750216,0.09624400855612256,2.283,-0.14683879192497828,-1.1553907087893225
ogleiv_only_quoted_relative_fixed,ogleiv_only,32,quoted_relative,fixed,curve_fit_quoted_errors_residual_scaled,3.118121,0.0,0.007053335707880301,2.410361629121252,2.410361629121252,1.738344313735889,2.01905505282752,4,0.7322539540248767,True,True,0.3089811497362693,0.009547091699683862,0.314,-0.005018850263730723,-0.46569364918091755,4.198480754503418,0.03915970509511124,4.238,-0.03951924549658248,-0.614607796668224,0.11165636549258116,0.00987431752096829,0.117,-0.005343634507418843,-0.48279737088173486,2.1423307461235215,0.08830571454303883,2.283,-0.14066925387647844,-1.160737796861747
ogleiv_only_quoted_relative_free,ogleiv_only,32,quoted_relative,free,curve_fit_quoted_errors_residual_scaled,3.118124186877455,3.1868774552634704e-06,0.007075823018974333,2.507949948812944,2.507949948812944,1.7396773541821586,1.9733762807665107,4,0.7406558962190963,True,True,0.30884852011003017,0.00977557322830808,0.314,-0.005151479889969834,-0.46916660265876137,4.198715855276923,0.04003152825407439,4.238,-0.0392841447230774,-0.6059134250690154,0.11141194984663962,0.010231523719655463,0.117,-0.005588050153360391,-0.4907010265884132,2.1434749740329124,0.09050364291880021,2.283,-0.1395250259670875,-1.1361946660784665
