observation_count,replicate_count,median_roc_auc,q10_roc_auc,median_balanced_accuracy,q10_balanced_accuracy,median_threshold,passes_gate
80,24,0.8329562594268477,0.6799465240641711,0.7972890786749482,0.6517482517482518,1.8078850970084306,False
120,24,0.8774509803921569,0.8033333333333333,0.8158992763772175,0.7100650452488688,1.6247690178161802,True
160,24,0.8861904761904762,0.7159090909090909,0.7998130341880342,0.7144230769230769,1.4561050863578942,False
240,24,0.8826086956521739,0.7842307692307692,0.8186145510835914,0.7286483253588516,1.5564701329716957,True
320,24,0.8863636363636364,0.8210005358418672,0.831845238095238,0.7358522727272727,1.3974628558161029,True
372,24,0.9143772893772893,0.8453296703296703,0.8483455882352942,0.7674358974358975,1.378994240617561,True
