observation_count,replicate,threshold,holdout_roc_auc,holdout_balanced_accuracy,holdout_sensitivity,holdout_specificity,development_roc_auc,development_balanced_accuracy
80,0,1.680633869349196,0.9619047619047619,0.8976190476190476,0.8666666666666667,0.9285714285714286,0.9625668449197861,0.910873440285205
80,1,1.6525858493379348,0.72265625,0.71875,0.625,0.8125,0.8251953125,0.796875
80,2,1.932811468848369,0.8235294117647058,0.7626050420168067,0.8823529411764706,0.6428571428571429,0.8946869070208728,0.8325426944971537
80,3,1.632026309909454,0.8571428571428571,0.7214285714285715,0.8,0.6428571428571429,0.7959001782531194,0.804367201426025
80,4,2.0319461241966947,0.6818181818181818,0.6227272727272727,0.7,0.5454545454545454,0.8278805120910384,0.8278805120910384
80,5,1.8298039489233604,0.8854166666666666,0.875,0.75,1.0,0.7473958333333334,0.7795138888888888
80,6,1.6039203546065615,0.9017857142857143,0.8616071428571428,0.7857142857142857,0.9375,0.8216911764705882,0.8363970588235294
80,7,1.8324720344539158,0.8875,0.8104166666666667,0.6875,0.9333333333333333,0.8475378787878788,0.7845643939393939
80,8,1.900943548293553,0.8333333333333334,0.75,0.9,0.6,0.8572567783094099,0.8038277511961722
80,9,1.896874642787672,0.8577777777777778,0.8333333333333334,0.8666666666666667,0.8,0.9146005509641874,0.8636363636363636
80,10,1.961036637325416,0.6666666666666666,0.717948717948718,0.6666666666666666,0.7692307692307693,0.8278388278388278,0.826007326007326
80,11,1.5474285842898923,0.6103896103896104,0.5681818181818181,0.5,0.6363636363636364,0.8895071542130366,0.8565182829888712
80,12,1.5747780181517106,0.8703703703703703,0.8611111111111112,0.7222222222222222,1.0,0.7592592592592593,0.7583333333333333
80,13,1.4662899747261038,0.8958333333333334,0.8333333333333333,0.6666666666666666,1.0,0.813301282051282,0.8461538461538461
80,14,1.8399174813405454,0.8632478632478633,0.8504273504273505,0.7777777777777778,0.9230769230769231,0.8578754578754578,0.8531135531135531
80,15,1.885503627471679,0.832579185520362,0.8348416289592759,0.8235294117647058,0.8461538461538461,0.7797235023041474,0.7889400921658987
80,16,2.0156979930378363,0.679144385026738,0.7486631016042781,0.5882352941176471,0.9090909090909091,0.8221447253705318,0.8112467306015694
80,17,1.6465998043701817,0.7261904761904762,0.7678571428571428,0.75,0.7857142857142857,0.8357843137254902,0.8022875816993464
80,18,1.8065693998994252,0.782608695652174,0.7841614906832298,0.7857142857142857,0.782608695652174,0.8411764705882353,0.831764705882353
80,19,1.9283315505754384,0.8021390374331551,0.8502673796791445,0.8181818181818182,0.8823529411764706,0.8849171752397559,0.8679163034001744
80,20,1.4903453451629487,0.7272727272727273,0.6233766233766234,0.42857142857142855,0.8181818181818182,0.7472178060413355,0.7388712241653419
80,21,1.8083478958307109,0.8838383838383839,0.8712121212121212,0.9090909090909091,0.8333333333333334,0.8252252252252252,0.8220720720720721
80,22,1.7941123199677715,0.8740740740740741,0.8777777777777778,0.8888888888888888,0.8666666666666667,0.8104118104118104,0.7657342657342657
80,23,1.8074222981861503,0.7857142857142857,0.7817460317460317,0.7777777777777778,0.7857142857142857,0.8386123680241327,0.803921568627451
120,0,1.5329041421991103,0.9242424242424242,0.9166666666666667,0.8333333333333334,1.0,0.8078078078078078,0.8066816816816818
