harmonic,sine_coefficient,cosine_coefficient,complex_real,complex_imag,complex_magnitude,complex_standard_error,wald_snr,derd_predicted_real,derd_predicted_imag,derd_predicted_magnitude,role
1,-0.01288419315858826,-0.11162571211077683,-0.05581285605538842,0.00644209657929413,0.0561834095565271,0.0004185512792119738,182.89489337855974,-0.030993286487169203,-0.024364294786803166,0.039423377173118855,recovery
2,-0.005322314529557481,0.007415552502542239,0.0037077762512711197,0.0026611572647787405,0.004563919665964201,0.0004215717044531285,15.061330366976446,0.0033342570244269984,0.005258517854418415,0.006226498207674843,recovery
3,-0.001567512788045001,-0.0017770746674626182,-0.0008885373337313091,0.0007837563940225005,0.0011848091317193234,0.0004217864873455311,3.8207035735811035,-0.0002783163460140216,-0.0019623841858728524,0.001982022119307061,recovery
4,-0.00040256022763694434,0.001739107065340216,0.000869553532670108,0.00020128011381847217,0.0008925452539775458,0.00042369882001303054,3.116553391944194,-0.0005838741717476907,0.0005405636628200899,0.0007956872011007363,recovery
5,0.0007829843838037355,0.0006584385976238417,0.00032921929881192085,-0.0003914921919018677,0.0005115188002706661,0.0004252995701686299,1.7595607075032889,0.00028779829189672703,0.0001495571193762315,0.0003243380778983406,forecast
6,0.0007824557678201171,8.528936160860255e-05,4.2644680804301274e-05,-0.00039122788391005855,0.0003935452019141422,0.00042941771701291234,1.3364386097235104,3.121532985401373e-05,-0.00013260768633929264,0.00013623213752325515,forecast
7,-0.0007170471355158786,-0.0008185345070068888,-0.0004092672535034444,0.0003585235677579393,0.0005440945078091988,0.0004303847950675183,1.6985830766898415,-5.8743011757465034e-05,-5.559720890800837e-07,5.8745642692045776e-05,forecast
8,-0.0005026395130793214,-8.566957299777481e-05,-4.2834786498887404e-05,0.0002513197565396607,0.00025494399181302465,0.00042466427343366503,0.832390454178761,5.331258407250991e-06,2.5096494328224416e-05,2.565650685053374e-05,forecast
