star_id,mode,period_days,observation_count_raw,train_count,test_count,winner,best_derd_rmse,best_fourier_rmse,derd_minus_fourier_rmse,catalog_period_pdm_score,derd_g_amplitude_ratio,derd_g_condition_number,derd_g_e1,derd_g_e2,derd_g_phase_ratio,derd_g_success,derd_g_train_rmse,derd_k_amplitude_ratio,derd_k_condition_number,derd_k_e1,derd_k_e2,derd_k_phase_ratio,derd_k_success,derd_k_train_rmse,epoch_hjd_minus_2450000,epoch_peak_phase_from_training,fourier_bic_order,fourier_bic_raw_order,fourier_bic_rejected_orders,local_best_period_days,local_file_sha256,observation_count_clean,period_relative_delta,test_derd_g_durbin_watson,test_derd_g_mae,test_derd_g_maximum_absolute_error,test_derd_g_r_squared,test_derd_g_residual_lag1_autocorrelation,test_derd_g_rmse,test_derd_g_weighted_mae,test_derd_g_weighted_rmse,test_derd_k_durbin_watson,test_derd_k_mae,test_derd_k_maximum_absolute_error,test_derd_k_r_squared,test_derd_k_residual_lag1_autocorrelation,test_derd_k_rmse,test_derd_k_weighted_mae,test_derd_k_weighted_rmse,test_fourier_bic_durbin_watson,test_fourier_bic_mae,test_fourier_bic_maximum_absolute_error,test_fourier_bic_r_squared,test_fourier_bic_raw_durbin_watson,test_fourier_bic_raw_mae,test_fourier_bic_raw_maximum_absolute_error,test_fourier_bic_raw_r_squared,test_fourier_bic_raw_residual_lag1_autocorrelation,test_fourier_bic_raw_rmse,test_fourier_bic_raw_weighted_mae,test_fourier_bic_raw_weighted_rmse,test_fourier_bic_residual_lag1_autocorrelation,test_fourier_bic_rmse,test_fourier_bic_weighted_mae,test_fourier_bic_weighted_rmse,test_fourier_order2_durbin_watson,test_fourier_order2_mae,test_fourier_order2_maximum_absolute_error,test_fourier_order2_r_squared,test_fourier_order2_residual_lag1_autocorrelation,test_fourier_order2_rmse,test_fourier_order2_weighted_mae,test_fourier_order2_weighted_rmse
OGLE-LMC-CEP-0001,1O,0.3068181,24,19,5,derd_k,0.066232621634319,0.0678562267701499,-0.0016236051358308884,0.2692239680819639,1.182717020865083,143.49515639540687,0.5548905227924346,0.24493418400575342,0.8425498485048354,True,0.042888952417956275,0.7088368623360289,15.803797737302032,0.3600599799781644,0.6389452065055538,0.21251523867265235,True,0.04257921792199944,2184.885548254492,0.240234375,3,3,,0.30679355455199997,a55f64c66fa94c6a2f29539e8085792ad984bdb9bee16e4078b529445529432f,24,-8.000000000004206e-05,2.2251667017465477,0.06299369173093487,0.10499145386678199,0.5590815872078587,-0.3283410942364077,0.07010707707172219,0.06278696060170862,0.07006404569454633,2.5249473714995836,0.05061621190281214,0.1160511400757468,0.6064694927375298,-0.4243996127284588,0.066232621634319,0.05159305378444681,0.06755818941278843,2.389943504275763,0.05745850782916244,0.09845531521487128,0.586939252239995,2.389943504275763,0.05745850782916244,0.09845531521487128,0.586939252239995,-0.460637680006322,0.0678562267701499,0.05819987658792844,0.06890481513871421,-0.460637680006322,0.0678562267701499,0.05819987658792844,0.06890481513871421,1.8419243131799306,0.07196187053991444,0.11286152882416611,0.4679145898519551,-0.10191809899387134,0.07701466282366583,0.06964661328286445,0.07488590041867522
OGLE-LMC-CEP-0002,F,3.118149,24,19,5,fourier_order2,0.4401384612906426,0.24531056123232917,0.19482790005831344,0.08891774616668777,0.9263636277012913,1097.5826720181817,0.38435567763208495,0.3726516447017862,0.9667077167818864,True,0.06627472563478297,1.0598562331742472,262.813142355184,0.3976259927481992,0.4128059362155984,0.033477344284128255,True,0.05836128200631282,2174.0428983808597,0.701171875,2,2,5:dense_prediction_span,3.1171511923199997,e793fbe2bca3f68121cec05e31e1af26866dcc8f6f52ed8cb5b8809ab68ae063,24,-0.0003200000000000414,0.16486800623001785,0.4081822291674989,0.6742762900234839,-1.451228183834289,0.6769159718651333,0.46873655226145816,0.4093542064189417,0.47032406779052377,0.2708970642999698,0.35872727572070867,0.671873506298654,-1.1612486774239805,0.5904580895672178,0.4401384612906426,0.35474770004894685,0.4389379416353612,0.15646451242577453,0.22358274995676347,0.3463870277763258,0.3286351632798643,0.15646451242577453,0.22358274995676347,0.3463870277763258,0.3286351632798643,0.5104081906851666,0.24531056123232917,0.22142988768390265,0.24413576942462314,0.5104081906851666,0.24531056123232917,0.22142988768390265,0.24413576942462314,0.15646451242577453,0.22358274995676347,0.3463870277763258,0.3286351632798643,0.5104081906851666,0.24531056123232917,0.22142988768390265,0.24413576942462314
OGLE-LMC-CEP-0003,1O,0.3500957,24,19,5,derd_g,0.11112877905026192,0.11954147569332695,-0.008412696643065029,0.020098544733406606,0.1858627864944711,21.17596485913782,9.908110774556786e-37,0.7896809464721007,0.6299293936662337,True,0.0755640457220561,0.9927285484639947,25326743.19500678,0.40137502306413836,0.40391035763370503,0.9999991806866635,True,0.07791454499870111,2171.9122410281498,0.075439453125,2,2,,0.349983669376,45b86328fe30b498fcb96eeb62d0844ca2561f70a9da78de364e7a362d8683d5,24,-0.00032000000000001006,1.2400524964414221,0.1030358396543523,0.15416407235859697,-0.0012461032979393938,0.22380482865852422,0.11112877905026192,0.1124808598570147,0.11953103994178918,0.5976676258654344,0.12146879923768665,0.24657436909514546,-1.0216201018448237,0.2152796241841473,0.15790864142530886,0.13571329559949566,0.17172409555477236,1.1097450703265948,0.09956910308855985,0.1993625771571531,-0.1585772026055281,1.1097450703265948,0.09956910308855985,0.1993625771571531,-0.1585772026055281,-0.01935958825119209,0.11954147569332695,0.10679704084783057,0.12837041107761116,-0.01935958825119209,0.11954147569332695,0.10679704084783057,0.12837041107761116,1.1097450703265948,0.09956910308855985,0.1993625771571531,-0.1585772026055281,-0.01935958825119209,0.11954147569332695,0.10679704084783057,0.12837041107761116
OGLE-LMC-CEP-0004,1O,2.2296385,24,19,5,fourier_order2,0.07609796209133811,0.04324402382515132,0.03285393826618679,0.06830633704178304,0.23588291229592673,27.566927311422262,8.995405071452293e-26,0.6437012004421613,0.06512977053760664,True,0.01877440168024262,0.3200468255682713,24.958935157308257,0.21228317908545943,0.6802228625058172,0.4015505400105446,True,0.021316431639173274,2172.4700171947025,0.275146484375,2,2,,2.2274088615000003,90288a5f96940f59d9bddbede8c2b683a72b07ed0f6dcdc92571f501ad4a04c7,24,-0.0009999999999999092,0.28682410544483855,0.07722687934373614,0.10747009068730373,-0.24442307716640244,-0.4528113580770598,0.0852805364963306,0.07827247263526296,0.08597968182965429,0.2940877451876669,0.06902911996811385,0.09435678582732554,0.009135517060810283,-0.5052028214494032,0.07609796209133811,0.06986962307664793,0.07663669762715088,0.7912881950544005,0.03686679789664602,0.07246032000588909,0.680021790031085,0.7912881950544005,0.03686679789664602,0.07246032000588909,0.680021790031085,-0.4718766918928377,0.04324402382515132,0.036944738959804435,0.04319776056520865,-0.4718766918928377,0.04324402382515132,0.036944738959804435,0.04319776056520865,0.7912881950544005,0.03686679789664602,0.07246032000588909,0.680021790031085,-0.4718766918928377,0.04324402382515132,0.036944738959804435,0.04319776056520865
OGLE-LMC-CEP-0005,F,5.6119491,24,19,5,derd_k,0.03764799803497205,0.08783214990649638,-0.05018415187152433,0.1872895388036155,1.1815800977117241,279.8186354484692,0.3439305966069828,0.4552916306751831,0.92229514689642,True,0.023639313842224497,0.8124556451093345,11.595708888830645,0.5744577364008132,0.5470497341304079,0.22057667925604918,True,0.023895235240617412,2171.9620380665774,0.018798828125,3,3,,5.6063371509,450368e130f5aa0d1823d415b3041463e65f8eaf10e6d90ff72d14c4f9621ed7,24,-0.0010000000000000716,0.03554732185731883,0.040554603058389,0.05349422888770111,0.6754201765025689,0.29149282482216343,0.04121654530789646,0.04087560190852804,0.04157157131561616,0.18870485092002615,0.03273917132615385,0.0677907037415556,0.7291916072708264,0.8735192989295482,0.03764799803497205,0.03379936614718082,0.03884705307721614,0.26033245592566906,0.0786735329113119,0.12940708218459263,-0.4739588935512755,0.26033245592566906,0.0786735329113119,0.12940708218459263,-0.4739588935512755,0.09829084247529284,0.08783214990649638,0.07939190388828413,0.08833857281004574,0.09829084247529284,0.08783214990649638,0.07939190388828413,0.08833857281004574,0.041269250089188025,0.15541301298786322,0.19490388894300809,-3.7568351344144313,0.049591756943107294,0.15778651248002462,0.1559855973087291,0.15830953995216812
OGLE-LMC-CEP-0006,1O,3.2947501,24,19,5,derd_g,0.19606332718853645,0.42068032950132606,-0.2246170023127896,0.06113358500010688,1.9999999999999998,648.2888084282251,0.47925128019755153,0.5791909377244759,0.5696537082868357,True,0.040414830236681146,0.18434581714452858,168.76704522852964,0.4299664193595742,0.9799999999999999,0.3864039884021835,True,0.03914624805442095,2172.22736026272,0.112548828125,3,5,4:dense_prediction_span;5:dense_prediction_span,3.292707354938,4afcf12f90c25b367b86a81de44c5901967d738af7ec283abdae005404ab4878,24,-0.0006199999999999919,0.17359496101621047,0.1685403789116337,0.2774065000889754,0.7021657552455421,0.7096697146487378,0.19606332718853645,0.1569525354356993,0.18676343582701024,0.06600368782361829,0.20391392736516023,0.27971010387610296,0.6411766967306698,0.7312697608581528,0.21520352103339882,0.19596562739470597,0.20792802639641395,0.1926115790849766,0.8834998103583931,1.2015954111949243,-5.9853651974738815,0.427271725091279,50.91642255668014,87.2786988431301,-26780.534749882154,-0.184397845491401,58.793157317713536,50.76750783219473,58.037764148701534,-0.25134471614797177,0.9495188936793212,0.9001222064985261,0.9570203110729704,0.32767043141605035,0.3784632746461958,0.6045509634442175,-0.3711542221317423,-0.05611087731063919,0.42068032950132606,0.3712834498566404,0.4127214953355766
OGLE-LMC-CEP-0007,1O,0.7090827,24,19,5,fourier_order2,0.16567643430354964,0.15443683431347865,0.011239599990070986,0.08105098487903685,1.9999999999999882,108.04741049550329,0.582781659544014,0.6825646046232898,0.511751313907327,True,0.04916675352921679,0.6014329416211798,45.748541770640884,0.1596839681045623,0.5504396232560942,0.08763400051217503,True,0.050629173306055104,2185.394247299683,0.826416015625,4,4,,0.7093946963879999,8851b3c1b637300484849de12ced3a8c7d959827b97e982168c5a76dfe4bbb5c,24,0.00043999999999992466,0.5635061138989172,0.14656020013933463,0.33465744075928455,-5.008119866373985,0.12377842079558833,0.18105010409746486,0.12740426964503937,0.15958299090817607,0.6198870364160606,0.13370571359197422,0.3111346903590005,-4.031094895949357,0.051119575747996505,0.16567643430354964,0.11681488637988896,0.14599992095532674,0.5573407039294498,0.14010906929863248,0.2966995037937635,-3.8637742607077685,0.5573407039294498,0.14010906929863248,0.2966995037937635,-3.8637742607077685,-0.12624185242455738,0.16289816405548935,0.12823445714537524,0.14722764685626025,-0.12624185242455738,0.16289816405548935,0.12823445714537524,0.14722764685626025,0.8126185427613779,0.10763651018879043,0.30106693201994755,-3.37162410903323,0.15250784876967483,0.15443683431347865,0.08758671200435131,0.1332391892781142
OGLE-LMC-CEP-0009,1O,2.0243667,24,19,5,fourier_order2,0.10010937193904333,0.08165397738868005,0.018455394550363283,0.023168148317357636,1.618127133374589,39.97832279373138,0.6030875109055763,0.23220234991573743,0.5948078780962825,True,0.03139258562454793,0.7300462569984998,18.062594700873852,0.20010351439664675,0.5477339419986605,0.3911731889446232,True,0.031509782805409524,2252.7107123920164,0.422607421875,2,2,,2.023718902656,256b9dad787c2e7c38abf0baa272dc73063ed7aa422212e468a6a96015396b9b,24,-0.00032000000000000035,0.1664788734818356,0.08746118126199982,0.14671956617723478,0.69272814588399,0.8244202871866646,0.10010937193904333,0.08695863688585442,0.09903332191252422,0.16946622369775086,0.08928091694311613,0.15168008985554762,0.6804902556728649,0.8352889040299667,0.10208346435806073,0.08867906992317577,0.1008843542338862,0.2865108769354599,0.07153295000872836,0.1401459477554859,0.7955778291476521,0.2865108769354599,0.07153295000872836,0.1401459477554859,0.7955778291476521,0.7077956170751121,0.08165397738868005,0.0700553082577591,0.07951918186766134,0.7077956170751121,0.08165397738868005,0.0700553082577591,0.07951918186766134,0.2865108769354599,0.07153295000872836,0.1401459477554859,0.7955778291476521,0.7077956170751121,0.08165397738868005,0.0700553082577591,0.07951918186766134
OGLE-LMC-CEP-0010,1O,2.5655853,24,19,5,derd_k,0.04600219105859687,0.05771270984611252,-0.011710518787515653,0.04639664598742613,1.9999972964245065,2904.2767881818863,2.661378318219135e-07,0.3418188604012039,0.507536653784557,True,0.04413334688477641,0.59344377263044,70.85081959372168,0.06526153162908621,0.2778831676905533,0.9051011426966038,True,0.04279250451454867,2164.182824467163,0.506591796875,2,2,,2.56635497559,8b2e368df3a3de9beb178268cbe53020a827202ee54acf599cbb41a83ff88752,24,0.0002999999999999856,0.197585163162041,0.07368507744454467,0.11110443911886975,0.48707450773456373,-0.30478278529236735,0.07685148882089521,0.07339546447142177,0.07650287494616341,0.48389661954937735,0.04049993613097411,0.07600153861167991,0.8162164027135442,-0.07903163050049633,0.04600219105859687,0.03990769978864367,0.04546437598448212,0.33599432862231443,0.0536339776213848,0.08949509760316829,0.7107371595236507,0.33599432862231443,0.0536339776213848,0.08949509760316829,0.7107371595236507,-0.28791335283646835,0.05771270984611252,0.05331064353471771,0.057349659232615244,-0.28791335283646835,0.05771270984611252,0.05331064353471771,0.057349659232615244,0.33599432862231443,0.0536339776213848,0.08949509760316829,0.7107371595236507,-0.28791335283646835,0.05771270984611252,0.05331064353471771,0.057349659232615244
OGLE-LMC-CEP-0012,F,2.6601839,24,19,5,derd_k,0.4969767550577662,0.5738596820369883,-0.07688292697922217,0.06089037162187427,1.265193956893115,33.07044125537906,0.44880071107646047,0.4150988509867684,0.8236461154387743,True,0.018098435789945164,0.6971091346127801,8.106754249377532,0.4790261194108475,0.898792651772493,0.3228291301950067,True,0.01766637197668331,2165.4129961565673,0.953857421875,3,5,5:dense_prediction_span,2.6620460287299994,a5d5065333cbfc177a2cd67c22bfbcd1dadfc003ef02b5a76b49c03d2962dcbc,24,0.0006999999999998419,0.1753087809191577,0.5347008682433696,0.8193520756306923,-0.7217377396708613,0.38324691682195244,0.5836528869181071,0.49278975903762867,0.5509609407486122,0.26121273283959223,0.4109429151909817,0.6698602897122203,-0.24833134404848556,0.694262870447728,0.4969767550577662,0.3537339957660048,0.4556678278901264,0.1715181005600382,0.5498018947187198,0.8422483965678222,-0.7849731705546172,0.04379018864159945,8.969841750970977,11.247085025453513,-417.9510719207609,0.16143387246211463,9.104430634646906,9.193405462914955,9.307769168839421,0.310845966101014,0.5942743488169536,0.5111597569631698,0.5638742258627407,0.18392399485641436,0.5041684043272981,0.763317479310545,-0.6644438537515478,0.6028607630019193,0.5738596820369883,0.4492474182073067,0.5323184909228458
