block_index,start_time,end_time,observation_count,occupied_phase_bins,maximum_circular_phase_gap,design_condition_number,coefficient_snr,sine_coefficients,cosine_coefficients,recovery_snr_pass,block_quality_pass
0,2171.86025,2988.62048,120,12,0.04133304838592977,2.0809813510864985,"[16.037326501667245, 6.653028399383153, 2.352057545023923, 1.8524504967842106, 1.5146302902782758, 1.4933823023646748, 0.7246332593512057, 1.363701729389234]","[0.031993856645216055, -0.07919392748655053, 0.03019972445062984, 0.00397457445507251, -0.021150399278255003, 0.021108420192586037, 0.0020255599632165878, -0.0195166540609812]","[-0.22706929038588008, 0.053360936659251436, 0.014980742962168865, -0.02623419874271763, 0.004577536548291436, -0.0027343635116280334, -0.010191897552057518, 0.0015916956101420232]",False,True
1,2990.81169,3707.67402,120,12,0.03535597497557319,1.9505850609865103,"[14.98195438692509, 5.691709454341248, 3.067511790405086, 1.35452770984642, 1.1805770639046398, 0.5745733844286044, 1.6423968945500163, 1.3932186665623565]","[0.038564727786434286, -0.07865846520910805, 0.014107504403713623, 0.0023108667131383196, -0.01392909933533427, 0.007995295686064247, -0.012618379518204345, -0.018939062347986695]","[-0.21363937974196137, 0.024763323775008863, 0.04206182542112534, -0.019649029193176036, 0.010216124062347821, 0.002590900658991828, -0.02042470125539474, 0.007501799986925773]",False,True
2,3713.63558,4540.51801,120,12,0.04460897253966323,2.5363077909941945,"[15.174444593281569, 5.072490719543669, 3.4284282592734128, 2.3190138736606047, 0.703715575667809, 1.8671424952889197, 1.7190300929600901, 1.5068013176624508]","[0.015059846216861223, -0.05986935566598709, 0.051217656702738076, -0.02885108930715347, 0.0012483503346117284, 0.019794963399924606, -0.02448016542413042, 0.015505711789728161]","[-0.22734256256883698, 0.04614709029431518, 0.004219585518265138, -0.019846839148399114, 0.010566207445714763, -0.01999452610906826, 0.009080708516015815, 0.016427960512668857]",False,True
