2171.85654 15.160 0.006
2183.81586 15.038 0.006
2184.81537 15.242 0.006
2188.86595 15.178 0.006
2191.77701 15.209 0.006
2200.79698 15.165 0.006
2206.73211 15.193 0.006
2216.85619 15.012 0.006
2223.72085 15.013 0.006
2226.69697 15.162 0.006
2228.74071 15.117 0.006
2230.65224 15.041 0.006
2232.67405 14.995 0.006
2234.66678 15.020 0.006
2238.61125 15.212 0.006
2240.73781 15.230 0.006
2242.74868 15.253 0.006
2244.79945 15.215 0.006
2249.66771 15.232 0.006
2252.63118 14.993 0.006
2253.65560 15.214 0.006
2256.66017 15.122 0.006
2259.65471 15.038 0.006
2262.65992 15.220 0.006
