experiment_id,row_index,active_dimension,active_value,time_law,e1,e2,amplitude_ratio,phase_ratio,mean,standard_deviation,skewness,kurtosis_excess,phase_of_minimum,phase_of_maximum,derivative_energy,harmonic_1_amplitude,harmonic_1_phase,harmonic_2_amplitude,harmonic_2_phase,harmonic_3_amplitude,harmonic_3_phase,harmonic_4_amplitude,harmonic_4_phase
IURM-DERD-A-001,0,amplitude_ratio,0.1,geometric,0.2,0.7,0.1,0.3,0.5607903881482927,0.3560827907698848,-0.24927125358684168,-1.458950044702622,0.50390625,0.0234375,2.002117793971683e-05,0.49955742958114846,-0.07787477421810177,0.06330186033819711,-2.986016350391399,0.004044377333196759,1.7095491093442983,0.002670955270476308,1.4357833812928646
IURM-DERD-A-001,1,amplitude_ratio,0.2,geometric,0.2,0.7,0.2,0.3,0.5657730439581161,0.35928094435762703,-0.25730472735245585,-1.4667552850008045,0.505859375,0.0625,2.0857007080919175e-05,0.5022025528859715,-0.1510467805130203,0.07634598038978585,-2.8891055882423267,0.009773174360682133,2.2194079838796568,0.005281051489460843,1.344367521963608
IURM-DERD-A-001,2,amplitude_ratio,0.3,geometric,0.2,0.7,0.3,0.3,0.55938474900847,0.3570625855729952,-0.24255546311165704,-1.4679321090775046,0.509765625,0.119140625,2.1158488519770233e-05,0.49703426536523526,-0.21921933533402346,0.08737657748311213,-2.8240722122596074,0.015474794974350763,2.337938122816676,0.0076092056770381885,1.3146560369523157
IURM-DERD-A-001,3,amplitude_ratio,0.4,geometric,0.2,0.7,0.4,0.3,0.5439305782294033,0.35035326057588856,-0.20974401897943895,-1.4605800860553408,0.51171875,0.14453125,2.0955747170228237e-05,0.4855557857517704,-0.28231919320281357,0.0959382129106539,-2.7777694270039457,0.02038947301881648,2.3886903065087908,0.00956035243235701,1.299968471458366
IURM-DERD-A-001,4,amplitude_ratio,0.5,geometric,0.2,0.7,0.5,0.3,0.5267610759356323,0.34335629934615175,-0.16398086695490616,-1.444561694059747,0.515625,0.15625,2.070490754750025e-05,0.47374734692915316,-0.34044454913762046,0.1029282848520405,-2.743259838246227,0.024589502360052053,2.4167279627709917,0.011207891557572791,1.2912126576303578
IURM-DERD-A-001,5,amplitude_ratio,0.6,geometric,0.2,0.7,0.6,0.3,0.5102216467751115,0.33722915487106647,-0.10994266578075895,-1.4209112145430474,0.517578125,0.1640625,2.0524520109937973e-05,0.4632703096788735,-0.3938131828814505,0.10881299654152816,-2.7166053683792524,0.02820226226760501,2.4344855466000763,0.012616121240290093,1.2853997201309406
IURM-DERD-A-001,6,amplitude_ratio,0.7,geometric,0.2,0.7,0.7,0.3,0.4949526953432866,0.3321478036844947,-0.05147740382679311,-1.391241924979474,0.51953125,0.169921875,2.0427226657862234e-05,0.45438893347836906,-0.4427174160221192,0.11385325687498503,-2.695425914988566,0.0313343119211181,2.4467338479478045,0.013832181271735104,1.281259703606266
IURM-DERD-A-001,7,amplitude_ratio,0.7999999999999999,geometric,0.2,0.7,0.7999999999999999,0.3,0.4810743407348511,0.32802990205114463,0.008487634948002809,-1.3573028600975767,0.5234375,0.173828125,2.0401121249081925e-05,0.44699291970460087,-0.4874885949426704,0.11822261954810852,-2.6782060312280165,0.034070704359131114,2.455689968412427,0.014891745003706361,1.2781613707449062
IURM-DERD-A-001,8,amplitude_ratio,0.8999999999999999,geometric,0.2,0.7,0.8999999999999999,0.3,0.46852886333973925,0.32473181624854797,0.0678680526044691,-1.3207108759947332,0.525390625,0.17578125,2.0430363146587355e-05,0.4408786779270394,-0.5284711721770181,0.12204640451730993,-2.663938147526161,0.036478798925216285,2.4625229891111537,0.015822315619364535,1.2757555457633833
IURM-DERD-A-001,9,amplitude_ratio,0.9999999999999999,geometric,0.2,0.7,0.9999999999999999,0.3,0.4572001382108467,0.32210924155260795,0.1252732881018085,-1.2828238466132404,0.52734375,0.177734375,2.050066672476569e-05,0.43583748817026635,-0.5660050871394258,0.12541920571648685,-2.651927679287796,0.03861211980905622,2.4679073859712464,0.01664540941506589,1.2738334141209602
IURM-DERD-A-001,10,amplitude_ratio,1.0999999999999999,geometric,0.2,0.7,1.0999999999999999,0.3,0.44696034026650305,0.3200356108756542,0.1798454381914994,-1.2447065821141712,0.529296875,0.1796875,2.0600506095996348e-05,0.43168331516139036,-0.6004146749130699,0.12841458238476972,-2.6416809376426467,0.04051355154505869,2.472259443140917,0.01737809639992511,1.272262440387869
IURM-DERD-A-001,11,amplitude_ratio,1.2,geometric,0.2,0.7,1.2,0.3,0.43768595162062446,0.3184051172196294,0.23111492007662537,-1.207148192606823,0.53125,0.181640625,2.0720934029535774e-05,0.42825834077497776,-0.6320023724011388,0.13109074393637926,-2.6328377448434024,0.04221770898885461,2.4758499550024053,0.018034061121921297,1.2709544545493736
