experiment_id,row_index,active_dimension,active_value,time_law,e1,e2,amplitude_ratio,phase_ratio,mean,standard_deviation,skewness,kurtosis_excess,phase_of_minimum,phase_of_maximum,derivative_energy,harmonic_1_amplitude,harmonic_1_phase,harmonic_2_amplitude,harmonic_2_phase,harmonic_3_amplitude,harmonic_3_phase,harmonic_4_amplitude,harmonic_4_phase
IURM-DERD-PHI-001,0,phase_ratio,0.0,geometric,0.2,0.7,0.5,0.0,0.4521225905423465,0.373351074072107,0.17552026550246413,-1.5887909475622324,0.400390625,0.0,2.461700778364549e-05,0.5206395902504815,-1.3244336285856302e-16,0.06371428482805958,-2.5043636520453817e-16,0.05393348030698439,3.141592653589793,0.02484462521864394,-6.305879543177369e-16
IURM-DERD-PHI-001,1,phase_ratio,0.049999999999999996,geometric,0.2,0.7,0.5,0.049999999999999996,0.5460561859214288,0.3275850417787431,-0.1154450587027005,-1.3118115582538001,0.580078125,0.0078125,1.9647113792488158e-05,0.4532665040124887,-0.21358708618832825,0.07974351957444983,1.2107077251420375,0.04780883905063321,-2.071206255831199,0.020950683489588333,1.291212657630358
IURM-DERD-PHI-001,2,phase_ratio,0.09999999999999999,geometric,0.2,0.7,0.5,0.09999999999999999,0.5967623921344269,0.32931762045608093,-0.48334220739471356,-1.1125787408208967,0.560546875,0.017578125,2.0887231184723676e-05,0.44989400596296913,-0.3589090415694093,0.10880733874104564,1.8558545614718933,0.04725730030508849,-1.125075567770284,0.0188457036390134,2.5338133580640947
IURM-DERD-PHI-001,3,phase_ratio,0.15,geometric,0.2,0.7,0.5,0.15,0.6202995633839057,0.34758678661688475,-0.565746283354262,-1.2124216149345637,0.544921875,0.033203125,2.360069523295673e-05,0.4719430746669326,-0.42490645329415777,0.12836687826088652,2.3268023649612832,0.045683892298078274,-0.2747103016319247,0.016856919550748427,-2.533813358064096
IURM-DERD-PHI-001,4,phase_ratio,0.19999999999999998,geometric,0.2,0.7,0.5,0.19999999999999998,0.620853633466862,0.3650661380399083,-0.467795490074104,-1.3536335941027573,0.53125,0.078125,2.5520284274736004e-05,0.49638113524834576,-0.43127582315258733,0.13501635524225047,2.7432598382462263,0.04078295550133193,0.5520044950591161,0.014701971088211195,-1.2912126576303598
IURM-DERD-PHI-001,5,phase_ratio,0.24999999999999997,geometric,0.2,0.7,0.5,0.24999999999999997,0.5681120297253388,0.3525969622102758,-0.31413149091249976,-1.4301449775526052,0.521484375,0.189453125,2.2883135477655052e-05,0.48243684785166707,-0.3984042852436438,0.12134929614130169,3.141592653589793,0.031539747775689186,1.4264213442956788,0.012287396957875889,-3.5074179261926396e-16
IURM-DERD-PHI-001,6,phase_ratio,0.3,geometric,0.2,0.7,0.5,0.3,0.5267610759356323,0.34335629934615175,-0.16398086695490616,-1.444561694059747,0.515625,0.15625,2.070490754750025e-05,0.47374734692915316,-0.34044454913762046,0.1029282848520405,-2.743259838246227,0.024589502360052053,2.4167279627709917,0.011207891557572791,1.2912126576303578
IURM-DERD-PHI-001,7,phase_ratio,0.35,geometric,0.2,0.7,0.5,0.35,0.4982581429103462,0.337913122896826,-0.04003064374889842,-1.4240076046990993,0.509765625,0.119140625,1.9168768539900336e-05,0.47018482358921365,-0.26649405409250526,0.08169985563819059,-2.3268023649612832,0.022024599813426467,-2.7753447816014916,0.010728685720640254,2.5338133580640942
IURM-DERD-PHI-001,8,phase_ratio,0.39999999999999997,geometric,0.2,0.7,0.5,0.39999999999999997,0.4796065744140443,0.33472571734571815,0.05008720082303875,-1.3929446820991354,0.505859375,0.080078125,1.813056604771071e-05,0.4690222086412536,-0.18250575247982526,0.05861169539075208,-1.8558545614718949,0.023306692988935816,-1.7411794302930144,0.010151692467573954,-2.5338133580640965
IURM-DERD-PHI-001,9,phase_ratio,0.44999999999999996,geometric,0.2,0.7,0.5,0.44999999999999996,0.46903729363363944,0.3330407784689212,0.10432035101915604,-1.3680968098031139,0.501953125,0.041015625,1.7526318573546403e-05,0.4688036935643079,-0.09262024152377937,0.03598733501291873,-1.2107077251420386,0.025547160822025457,-0.8345388011648143,0.009454802967224587,-1.2912126576303606
