experiment_id,row_index,active_dimension,active_value,time_law,e1,e2,amplitude_ratio,phase_ratio,mean,standard_deviation,skewness,kurtosis_excess,phase_of_minimum,phase_of_maximum,derivative_energy,harmonic_1_amplitude,harmonic_1_phase,harmonic_2_amplitude,harmonic_2_phase,harmonic_3_amplitude,harmonic_3_phase,harmonic_4_amplitude,harmonic_4_phase
IURM-DERD-E1-001,0,e1,0.0,geometric,0.0,0.7,0.5,0.3,0.5106548155854964,0.3578561933771057,-0.05084243575678876,-1.532111373705348,0.521484375,0.140625,2.1150514785055728e-05,0.5000521656993622,-0.3375960502695511,0.07111747069894964,-2.5132741228718345,0.029042054281993475,2.513274122871835,0.011859827249603142,1.2566370614359164
IURM-DERD-E1-001,1,e1,0.1,geometric,0.1,0.7,0.5,0.3,0.5185409853480007,0.3507584567855232,-0.1068987283441839,-1.4948477535154567,0.517578125,0.1484375,2.089168281813345e-05,0.48744982533574904,-0.3382931088881109,0.08681143249843058,-2.6519384996003224,0.027545068717172314,2.491436786168027,0.011568142063296344,1.2608539697831556
IURM-DERD-E1-001,2,e1,0.2,geometric,0.2,0.7,0.5,0.3,0.5267610759356323,0.34335629934615175,-0.16398086695490616,-1.444561694059747,0.515625,0.15625,2.070490754750025e-05,0.47374734692915316,-0.34044454913762046,0.1029282848520405,-2.743259838246227,0.024589502360052053,2.4167279627709917,0.011207891557572791,1.2912126576303578
IURM-DERD-E1-001,3,e1,0.30000000000000004,geometric,0.30000000000000004,0.7,0.5,0.3,0.5356525662345261,0.3355992102011738,-0.2234899671115954,-1.3791033420336047,0.51171875,0.162109375,2.05962253197961e-05,0.45883727580906497,-0.34424653358045876,0.11898368520660725,-2.806912086743701,0.020566333856667177,2.253259029563313,0.010742068062936566,1.3792253534877918
IURM-DERD-E1-001,4,e1,0.4,geometric,0.4,0.7,0.5,0.3,0.5455448582216226,0.3273271312596728,-0.2871624659488203,-1.2944900876758738,0.509765625,0.16796875,2.057945884326897e-05,0.44240921587911236,-0.3500855524308811,0.13471341738139167,-2.8533394264932737,0.016601155188139628,1.9129496060651494,0.010333448424416185,1.5681341868925258
IURM-DERD-E1-001,5,e1,0.5,geometric,0.5,0.7,0.5,0.3,0.5568574559969307,0.3182651645242573,-0.3574057143022109,-1.183667900466816,0.5078125,0.173828125,2.0686608916508424e-05,0.42392769995306184,-0.35866517770833184,0.14988202843504103,-2.8883152079541734,0.015829819086572647,1.3206464295572886,0.010693517502654503,1.8957031459437161
IURM-DERD-E1-001,6,e1,0.6000000000000001,geometric,0.6000000000000001,0.7,0.5,0.3,0.5702218488849475,0.3079495268538892,-0.43795213338139316,-1.0336341683059522,0.505859375,0.177734375,2.0987753174119576e-05,0.4024971389788541,-0.3713025992169434,0.16412858615634582,-2.9150946789667374,0.021738929900199704,0.7647762446523328,0.0133478638354611,2.3009278607286814
IURM-DERD-E1-001,7,e1,0.7000000000000001,geometric,0.7000000000000001,0.7,0.5,0.3,0.5867266339809338,0.29552256454490056,-0.5353682980712507,-0.8178736670543212,0.50390625,0.18359375,2.1646360516523043e-05,0.3765124780546361,-0.3907125053440512,0.1766993471863985,-2.9353194195564636,0.0333938841628499,0.45845782665894824,0.019920394281179657,2.6292577426820376
IURM-DERD-E1-001,8,e1,0.8,geometric,0.8,0.7,0.5,0.3,0.6085926523890091,0.2791007265967334,-0.6633444185153332,-0.4714462564147195,0.501953125,0.189453125,2.312135148062489e-05,0.34265683237135347,-0.42360449299430847,0.1856655953244638,-2.9489400984009033,0.04887653342870392,0.30155693082570945,0.03169538175541199,2.8341431714998846
IURM-DERD-E1-001,9,e1,0.9,geometric,0.9,0.7,0.5,0.3,0.6419126822038237,0.2529210207197106,-0.8596846511397289,0.2348209528493621,0.501953125,0.193359375,2.7369550779851928e-05,0.2918752044748999,-0.4939261191224739,0.18430480422555404,-2.950952105850919,0.06524706233202288,0.22035787478731286,0.050044145301191556,2.952159909713907
