model,rmse,bic,bootstrap_wins,bootstrap_draws
separate_derd,0.028276796698445992,-3601.384247453727,2,64
shared_components_band_weights,0.018499245868130076,-4023.4026728419194,62,64
shared_derd,0.06452478823590153,-2781.529456341556,0,64
