comparison,mahalanobis_chi_square,degrees_of_freedom,p_value,first_R21,first_R21_se,second_R21,second_R21_se,delta_R21,first_phi21,first_phi21_se,second_phi21,second_phi21_se,delta_phi21,first_R31,first_R31_se,second_R31,second_R31_se,delta_R31,first_phi31,first_phi31_se,second_phi31,second_phi31_se,delta_phi31
I_vs_V_merged,123.25637409476077,4,1.0764361533163735e-25,0.29816273615760863,0.008922747310629099,0.33952682655420324,0.015069887493528616,0.04136409039659461,1.4804907648413677,0.03512352498766091,0.9326247527780813,0.03949005842353222,-0.5478660120632863,0.10696963693010576,0.008762902473736333,0.12116346908375927,0.012057935599652753,0.01419383215365351,2.8067962048195465,0.08558287686368678,1.9523162547008308,0.12407568283892964,-0.8544799501187157
I_vs_V_OGLEIII,32.80967783451897,4,1.3065889769568323e-06,0.29816273615760863,0.008839266233458817,0.36418564407332654,0.07325483571077973,0.06602290791571791,1.4804907648413677,0.03517267964284334,0.9516249017681888,0.15672520688659328,-0.5288658630731788,0.10696963693010576,0.008674486020092199,0.13575252239015245,0.049904871681214415,0.02878288546004669,2.8067962048195465,0.08511836472193401,1.9911216541879462,0.6728697793060335,-0.8156745506316003
V_OGLEIII_vs_V_OGLEIV,0.25946125448216567,4,0.9922785587669352,0.36418564407332654,0.07319929471913815,0.3265713706649113,0.027754156850633666,-0.03761427340841522,0.9516249017681888,0.15637309674665112,0.9308571789527464,0.11476259685318028,-0.02076772281544237,0.13575252239015245,0.050764030704617914,0.11958047378307367,0.030539532550675454,-0.016172048607078784,1.9911216541879462,0.6720195847205761,1.9487739246088154,0.3814868678658583,-0.0423477295791308
